Gene_Name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Acta1,383.74158398173034,1.5538863022699165,0.17290820159551307,1.1918768016804948e-21,2.1783932304314403e-17
LOC108167736,154.27177063993432,2.51512521825472,0.3134327816555775,2.4069142696062382e-17,2.199558605279661e-13
Ntn3,1493.1201893035557,0.9079702864896397,0.12940754617173436,3.1100111357661366e-13,1.8947224509465893e-9
Rps4l,1379.518903513438,1.5244465682737318,0.24592398892096962,3.197834133861655e-12,1.4611703616147366e-8
Tgfb2,6631.355083824584,-0.5755639939901447,0.09674396918075213,1.3352277847881738e-9,4.880791644514691e-6
Tiam2,1654.290760950367,0.5531861355633294,0.09571940726706009,3.869926346817135e-9,1.1788440640129463e-5
Pnck,7195.443433346456,0.8468556368845555,0.15601827673564478,9.53226104504643e-9,2.488873358861623e-5
6430584L05Rik,262.92196012628966,1.3616347336834975,0.2847952457351455,1.5892974515113118e-8,3.630948690159031e-5
Tubg2,1659.6595341212908,0.4920401875498313,0.08965995281999278,2.1951655743910706e-8,4.4578934670161776e-5
Tex14,245.51771717261144,0.9879156986843078,0.20552212361536043,8.123763396756991e-8,1.4847802360252752e-4
Gm10432,247.71093559563903,1.0735289633683984,0.2393720862860871,1.6373743762766261e-7,2.7205719522916267e-4
Cpne5,1785.0145098920168,0.8885124658086547,0.194487594438722,2.663114451412289e-7,4.0561452357052e-4
Ablim2,5623.53446538942,0.3013284486145125,0.06591951892988576,5.861780323296733e-7,8.241212228376492e-4
D630013N20Rik,23.15928511508308,1.305299761968565,1.1231252170432953,8.094964102353853e-6,0.009836687415840177
Dnah1,1211.7626195057449,0.8491510183947156,0.3473039156516252,8.611205266369909e-6,0.009836687415840177
Rlbp1,551.3569615044611,0.5394577410463395,0.18427273503243738,8.0420651925544e-6,0.009836687415840177
Cntn3,1014.1698716974083,0.7324122758587895,0.3345594580327978,1.4980566494860643e-5,0.015947747917022533
Gm13205,245.1532356664841,0.9839907518538995,0.6752716401015585,1.5706049269924253e-5,0.015947747917022533
BC023719,114.86111718302455,0.15841899755971833,0.6703726345092708,2.3813388918474937e-5,0.022294968976288396
Tmem30b,158.69694181896486,0.7665573760407869,0.4643605075258971,2.4396748893459973e-5,0.022294968976288396
Pcdhga2,746.7157232428689,0.5388971762092024,0.3042132942635988,3.5069477102724135e-5,0.030522134905070906
Lrrc3,492.6708336114577,0.36961000755288675,0.21152490718659023,3.894627404507574e-5,0.0323555023055386
Anln,2984.2096503149587,-0.45312876703981364,0.3298731236736631,6.926402363276047e-5,0.055040806953737524
Slc6a16,152.68065102175504,0.4502690218958809,0.3442666098708571,7.692887063162305e-5,0.0585845403555906
Kcnj12,381.31861755110134,0.3973404105562749,0.3183794494150464,9.088034353331224e-5,0.0638853861060903
Myo1h,99.28466011607757,0.5102703688905045,0.6373997694135775,9.050530409028266e-5,0.0638853861060903
Serinc5,6598.169109355589,-0.139774952080934,0.13967926900981673,1.1158869059055255e-4,0.07553727770087144
Hpcal4,57991.48176589203,0.15896214392990718,0.16517414954170098,1.403044475415289e-4,0.08842566854194911
Obscn,327.11206220717673,0.4065063365089051,0.41640684340192996,1.360309273870997e-4,0.08842566854194911
Cntnap5a,3924.6195359201415,0.30089101413993957,0.3032028695717959,1.6298301650393364e-4,0.0891253356556985
Gaa,26990.20727484247,0.28168376655936056,0.28500914337085875,1.657774868228773e-4,0.0891253356556985
