Gene_Name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Ddx3y,2493.0956240291393,14.756587458276472,1.1833897409020704,4.015657467038058e-36,7.194050352198681e-32
Uty,1229.1945284935114,12.650271959484305,1.1801270087666975,3.9514054096940585e-27,3.539471395733453e-23
Xist,25849.540469871146,-11.9608813196906,1.276198153711234,3.663607507170888e-21,2.1877842830322153e-17
Tex14,245.51771717261144,1.6405443179180184,0.18914787871780556,1.0428705033065581e-19,4.670756266684247e-16
Atp2b3,9076.756280480558,-1.2055012487461527,0.1651336181048899,4.066422270511665e-15,1.4569990995243297e-11
Thrsp,1094.2561406457337,0.7875792653088772,0.11462576379734377,4.243159215981327e-13,1.266936622571758e-9
Hccs,2237.1000238854253,0.755991239912272,0.11153730573145645,9.455180001974456e-13,2.41985071050532e-9
Amn,231.78959455390438,1.7939746375961412,0.30597315352238524,6.847081645784376e-11,1.5333183460528386e-7
Rps4l,1379.518903513438,1.2367818128775288,0.24385794573523994,4.580230369780386e-9,9.117203008290624e-6
Kirrel2,686.2951061912376,0.9242235042805578,0.1802503337058488,6.78461453358158e-9,1.21546369369114e-5
Hsf2bp,51.36007136221547,2.0377346156337817,0.5062547552980314,5.3972080420351906e-8,8.790089279369132e-5
Ntn3,1493.1201893035557,0.6277295867672845,0.14276616436126213,8.809302893553224e-8,1.31515551115005e-4
Obscn,327.11206220717673,1.036573446817264,0.2541248677065916,1.9814489177421771e-7,2.7305890277962386e-4
Eif2s3x,5905.035107806177,-0.6281598972642841,0.16979686148501508,4.842234758968364e-7,6.19633112192273e-4
Naa11,12.33651626580801,2.7733461907471284,2.7095519629185065,3.565526771688228e-6,0.00425842747431964
Dph1,939.2566150097033,0.30110040988478043,0.13822014826291204,5.333309432066013e-6,0.005971639904716415
Pnck,7195.443433346456,0.5598365506083047,0.23729062931338749,6.037229368512577e-6,0.006362174360994283
Zfp976,399.9980798900165,-0.48458062156867093,0.2209702259879148,7.589480444470262e-6,0.007553641231260264
Rassf6,20.956017544591568,-0.8222226715577378,1.0905104395512883,1.7434571752991207e-5,0.016438965944991446
