Gene_Name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Tex14,245.51771717261144,3.0380484655568467,0.2017652665538856,2.0221072911123845e-52,3.4762046441513003e-48
Rps4l,1379.518903513438,2.7593107477965146,0.23207123835260182,1.4041774514054854e-33,1.206960728355585e-29
Ntn3,1493.1201893035557,1.4682079471987612,0.13304298128255101,1.2977710815536535e-30,7.436660887662952e-27
Acta1,383.74158398173034,1.8546594330469286,0.16854711119653243,2.4365901208425215e-29,1.0471855191850948e-25
LOC108167736,154.27177063993432,3.1401802190849084,0.30656589981391863,5.956685785717484e-26,2.048027706845385e-22
Amn,231.78959455390438,2.8970094991389788,0.3049735142657512,1.618500076974193e-22,4.637272470543892e-19
Obscn,327.11206220717673,2.1577182661506367,0.2314422087178769,1.5814685085793794e-21,3.883860732998301e-18
Pnck,7195.443433346456,1.340423583289818,0.16443609820997115,1.5425169307496485e-18,3.314676069564651e-15
Thrsp,1094.2561406457337,0.966698567319218,0.11545142752950473,2.1806538785705446e-18,4.1652912029451365e-15
6430584L05Rik,262.92196012628966,1.9765860565708033,0.2780279118407321,6.755612782433052e-14,1.1613573934280659e-10
Gm10432,247.71093559563903,1.649752022113591,0.24106317709533884,9.47911666785439e-14,1.481413587609862e-10
Dnah1,1211.7626195057449,1.6892707817944104,0.25232346323123417,3.1674331685928365e-13,4.5376119667732876e-10
Kirrel2,686.2951061912376,1.2043017455727687,0.18309351524548914,3.4987885230737267e-13,4.626744115396957e-10
Dph1,939.2566150097033,0.6422339394269362,0.0963177057190325,1.715644526461474e-12,2.1066889324570857e-9
Crybb1,142.61348573668013,2.2944612503104342,0.3421090455164558,1.8834821341257497e-12,2.1585960911837175e-9
6330403K07Rik,11049.60789894666,0.9676518384178696,0.1478943689194219,2.1466261030320813e-12,2.306415583576532e-9
Alox8,327.1316700425245,-0.8891385589742801,0.13917816851076942,9.643932016197901e-12,9.752284428850478e-9
Hsf2bp,51.36007136221547,2.8241238033926317,0.4504046434625011,2.120172685594688e-11,2.024882702114349e-8
Pgam2,443.10763175063113,1.7223613289500106,0.2905037297269461,4.5801203194364815e-11,4.1440446532332926e-8
Nrip2,827.3596771870158,0.7494669402165913,0.12265725040912333,8.005934543976612e-11,6.881501037275096e-8
Asic4,231.8029468248625,1.2972067941627083,0.23158921281844438,1.305573013111446e-10,1.0687669365904223e-7
AA388235,90.25603429353428,21.158010382607582,3.354685785838572,1.4490284501874075e-10,1.132284003962351e-7
Arhgap27,953.3596857052088,1.0694939945313697,0.19584040579905576,7.759284537094575e-10,5.799559151182297e-7
