"base_gene_name","X10_S254_allelic_expression_ratio","WT_M3_S255_allelic_expression_ratio","X12_S256_allelic_expression_ratio","WT_F1_S245_allelic_expression_ratio","X2_S246_allelic_expression_ratio","X3_S247_allelic_expression_ratio","X4_S248_allelic_expression_ratio","WT_M1_S249_allelic_expression_ratio","WT_M2_S250_allelic_expression_ratio","X7_S251_allelic_expression_ratio","WT_F2_S252_allelic_expression_ratio","WT_F3_S253_allelic_expression_ratio","X10_S254_imprinting_status","WT_M3_S255_imprinting_status","X12_S256_imprinting_status","WT_F1_S245_imprinting_status","X2_S246_imprinting_status","X3_S247_imprinting_status","X4_S248_imprinting_status","WT_M1_S249_imprinting_status","WT_M2_S250_imprinting_status","X7_S251_imprinting_status","WT_F2_S252_imprinting_status","WT_F3_S253_imprinting_status","Status","Expressed_Allele","source","WT_F_avg","WT_M_avg","WT_Overall_avg","Expression_Pattern","WT_Female_Consistent","WT_Male_Consistent"
"Adam23",-0.112717164697707,-0.0980458793542906,-0.140004189651561,-0.11365227537923,-0.146815603758064,-0.189078808047194,-0.179647218453189,-0.0962731300495178,-0.108007584597433,-0.117160541162294,-0.109451120493667,-0.0781695766290083,"Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Imprinted","Paternal","imprinted_gene_list",-0.100424324167302,-0.100775531333747,-0.100599927750524,"Does Not Match","Yes","Yes"
"Ampd3",-0.0424242424242424,-0.108932461873638,0.112574850299401,-0.129431162407255,0.0339279468345575,-0.172727272727273,0.0146777281429483,0.119029567854435,0.121084618980832,-0.272567922874671,-0.0281456953642384,-0.147815679233992,"Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Imprinted","Maternal","imprinted_gene_list",-0.101797512335162,0.0437272416538763,-0.0290351353406427,"Does Not Match","Yes","Yes"
"Ano1",-0.55,1,-0.281767955801105,-0.305164319248826,-0.135734072022161,0.0062111801242236,-0.362962962962963,-0.358024691358025,0.0849315068493151,-0.170506912442396,-0.329545454545455,-0.317073170731707,"Not Imprinted","Paternally Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Imprinted","Maternal","imprinted_gene_list",-0.317260981508663,0.24230227183043,-0.0374793548391163,"Does Not Match","Yes","No"
"Aqp1",0.187224669603524,-0.00397877984084881,1,0.0871934604904632,0.126674320704171,-0.11864406779661,1,0.0852575488454707,0.00625,0,1,0.0671406003159558,"Not Imprinted","Not Imprinted","Paternally Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Paternally Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Paternally Imprinted","Not Imprinted","Imprinted","Maternal","imprinted_gene_list",0.384778020268806,0.029176256334874,0.20697713830184,"Does Not Match","No","Yes"
"Asb4",1,1,1,1,1,1,1,1,1,1,1,1,"Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Biallelic","Maternal","imprinted_brain",1,1,1,"Matches Maternal","Yes","Yes"
"Ascl2",1,1,1,1,1,1,1,1,1,1,1,1,"Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Paternally Imprinted","Imprinted","Maternal","imprinted_gene_list",1,1,1,"Matches Maternal","Yes","Yes"
"Axl",0.0836682499086591,0.144761904761905,0.0328523180841265,0.138634764250528,0.0344965904532692,0.0790816326530612,0.0754716981132075,0.0974327250231983,0.0167364016736402,0.0980645161290323,0.160583941605839,0.0289722476364745,"Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Imprinted","Maternal","imprinted_gene_list",0.109396984497614,0.0863103438195812,0.0978536641585975,"Does Not Match","Yes","Yes"
"Begain",-0.58043758043758,-0.163602513381429,-0.55956678700361,-0.592348565356004,-0.295905347407493,-0.23830985915493,-0.695110615356014,-0.118867924528302,-0.535791237730429,-0.692813527477689,-0.0981243830207305,-0.575333105568842,"Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Imprinted - Isoform Dependent","Paternal","imprinted_gene_list",-0.421935351315192,-0.272753891880053,-0.347344621597623,"Does Not Match","Yes","Yes"
"Blcap",0.349331878920098,0.241730279898219,0.297173144876325,0.214527027027027,0.36983582897348,0.305347326336832,0.23743119266055,0.0759818432997829,0.192800846959181,0.102445777572681,0.292147806004619,0.312820512820513,"Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Imprinted-flipped","Maternal","imprinted_brain",0.273165115284053,0.170170990052394,0.221668052668224,"Does Not Match","Yes","Yes"
"Ccdc40",-0.0201342281879195,0.0925925925925926,0.251908396946565,0.106382978723404,0.173447537473233,0.164658634538153,0.648351648351648,-0.0769230769230769,0.053030303030303,1,0.432835820895522,-0.145833333333333,"Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Not Imprinted","Paternally Imprinted","Not Imprinted","Not Imprinted","Imprinted","Paternal","imprinted_gene_list",0.131128488761864,0.0228999395666062,0.0770142141642353,"Does Not Match","Yes","Yes"
