base_gene_name,5cKO_M1_ImprintStatus,WT_M3_S255_ImprintStatus,5cKO_M2_ImprintStatus,WT_F1_S245_ImprintStatus,5cHT_F1_ImprintStatus,5cHT_F2_ImprintStatus,5cKO_M3_ImprintStatus,WT_M1_S249_ImprintStatus,WT_M2_S250_ImprintStatus,5cHT_F3_ImprintStatus,WT_F2_S252_ImprintStatus,WT_F3_S253_ImprintStatus,Status,Expressed_Allele,source,WT_F_avg,WT_M_avg,WT_Overall_avg,Expression_Pattern,WT_Female_Consistent,WT_Male_Consistent
Adam23,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted,Paternal,imprinted_gene_list,-0.100424324167302,-0.100775531333747,-0.100599927750524,Does Not Match,Yes,Yes
Ampd3,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted,Maternal,imprinted_gene_list,-0.101797512335162,0.0437272416538763,-0.0290351353406427,Does Not Match,Yes,Yes
Ano1,N,P,N,N,N,N,N,N,N,N,N,N,Imprinted,Maternal,imprinted_gene_list,-0.317260981508663,0.24230227183043,-0.0374793548391163,Does Not Match,Yes,No
Aqp1,N,N,P,N,N,N,P,N,N,N,P,N,Imprinted,Maternal,imprinted_gene_list,0.384778020268806,0.029176256334874,0.20697713830184,Does Not Match,No,Yes
Asb4,P,P,P,P,P,P,P,P,P,P,P,P,Biallelic,Maternal,imprinted_brain,1,1,1,Matches Maternal,Yes,Yes
Ascl2,P,P,P,P,P,P,P,P,P,P,P,P,Imprinted,Maternal,imprinted_gene_list,1,1,1,Matches Maternal,Yes,Yes
Axl,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted,Maternal,imprinted_gene_list,0.109396984497614,0.0863103438195812,0.0978536641585975,Does Not Match,Yes,Yes
Begain,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted - Isoform Dependent,Paternal,imprinted_gene_list,-0.421935351315192,-0.272753891880053,-0.347344621597623,Does Not Match,Yes,Yes
Blcap,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted-flipped,Maternal,imprinted_brain,0.273165115284053,0.170170990052394,0.221668052668224,Does Not Match,Yes,Yes
Ccdc40,N,N,N,N,N,N,N,N,N,P,N,N,Imprinted,Paternal,imprinted_gene_list,0.131128488761864,0.0228999395666062,0.0770142141642353,Does Not Match,Yes,Yes
Cd81,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted,Maternal,imprinted_gene_list,0.220054910678164,0.184314114182462,0.202184512430313,Does Not Match,Yes,Yes
Cdh15,P,M,M,M,M,P,M,P,M,M,M,M,Imprinted,Paternal,imprinted_gene_list,-0.959899749373434,-0.274410367866055,-0.617155058619744,Does Not Match,Yes,No
Cdkn1c,P,P,P,P,P,P,P,P,P,P,P,P,Imprinted-same,Maternal,imprinted_brain,0.877485368957126,0.890896428792739,0.884190898874933,Matches Maternal,Yes,Yes
Chrac1,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted,Maternal,imprinted_gene_list,0.0799957968294819,0.110472860472861,0.0952343286511712,Does Not Match,Yes,Yes
Commd1,P,P,P,P,N,P,P,P,N,P,P,P,Imprinted,Maternal,imprinted_gene_list,1,0.777536231884058,0.888768115942029,Matches Maternal,Yes,No
Copg2,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted-flipped,Maternal,imprinted_brain,0.069622037423128,0.0343408734434038,0.0519814554332659,Does Not Match,Yes,Yes
Dact2,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted,Maternal,imprinted_gene_list,-0.00599304863824825,-0.354576770852481,-0.180284909745365,Does Not Match,Yes,Yes
Dcn,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted,Maternal,imprinted_gene_list,0.242922678407279,0.137302681069137,0.190112679738208,Does Not Match,Yes,Yes
Ddc,N,P,N,N,N,M,N,N,N,N,N,N,Imprinted,Paternal,imprinted_gene_list,-0.425795259068184,0.063746965767508,-0.181024146650338,Does Not Match,Yes,No
Dhcr7,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted,Maternal,imprinted_gene_list,-0.109482976274758,-0.103270743987835,-0.106376860131296,Does Not Match,Yes,Yes
Dio3,N,P,N,N,N,N,N,P,P,P,P,N,Biallelic,Paternal,imprinted_brain,0.43461582503149,1,0.717307912515745,Does Not Match,No,Yes
Dlk1,M,M,M,M,M,M,M,M,M,P,P,M,Imprinted-same,Paternal,imprinted_brain,-0.333333333333333,-1,-0.666666666666667,Does Not Match,No,Yes
Ftx,P,P,P,N,N,N,P,P,P,N,N,N,Imprinted,Paternal,imprinted_gene_list,0.110359099058976,0.941360320507785,0.52585970978338,Does Not Match,Yes,Yes
Gab1,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted,Paternal,imprinted_gene_list,-0.104453307246325,-0.122800703593078,-0.113627005419701,Does Not Match,Yes,Yes
Galnt6,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted,Paternal,imprinted_gene_list,0.0218629255805007,-0.276303426952419,-0.127220250685959,Does Not Match,Yes,Yes
Gatm,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted,Maternal,imprinted_gene_list,-0.0408079132672439,-0.0575873116989395,-0.0491976124830917,Does Not Match,Yes,Yes
Gm35612,P,P,P,P,P,P,P,P,P,P,P,P,Imprinted,Maternal,imprinted_gene_list,0.971014492753623,1,0.985507246376812,Matches Maternal,Yes,Yes
Gnai3,N,N,N,N,N,N,N,N,N,N,N,N,Predicted,Maternal,imprinted_gene_list,0.0722209723036164,0.123461131065972,0.097841051684794,Does Not Match,Yes,Yes
Gnas,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted - Isoform Dependent,Maternal,imprinted_gene_list,-0.195843130503909,-0.231549716989878,-0.213696423746894,Does Not Match,Yes,Yes
Grb10,M,N,M,N,M,M,M,N,M,M,M,N,Parental Bias II,Maternal,imprinted_brain,-0.684832639416312,-0.65356439049692,-0.669198514956616,Does Not Match,No,No
H13,N,N,M,N,N,N,N,N,M,M,M,N,Imprinted,Maternal,imprinted_gene_list,-0.340050617186623,-0.247184631347402,-0.293617624267012,Does Not Match,No,No
H19,P,P,P,P,P,P,P,P,P,P,P,P,Parental Bias II,Maternal,imprinted_brain,1,1,1,Matches Maternal,Yes,Yes
Htr2a,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted,Maternal,imprinted_gene_list,-0.148603166379467,0.103990782075531,-0.0223061921519677,Does Not Match,Yes,Yes
Hymai,P,P,P,P,M,P,P,P,P,P,P,P,Imprinted,Paternal,imprinted_gene_list,1,1,1,Does Not Match,Yes,Yes
Igf2,N,N,N,N,N,N,N,N,N,N,N,N,Biallelic,Paternal,imprinted_brain,0.254396372655035,0.185516780550966,0.219956576603,Does Not Match,Yes,Yes
Igf2r,N,N,N,N,N,N,N,N,N,N,N,N,Tissue Dependent,Maternal,imprinted_gene_list,0.215019414368176,0.101794358843664,0.15840688660592,Does Not Match,Yes,Yes
Impact,N,N,N,N,N,N,N,N,N,N,N,N,Parental Bias II-flipped,Paternal,imprinted_brain,0.585774489372869,0.581379147533976,0.583576818453423,Does Not Match,Yes,Yes
Inpp5f,N,N,N,N,N,N,N,N,N,N,N,N,Imprinted,Paternal,imprinted_gene_list,0.117554622247084,-0.0603488333681158,0.0286028944394842,Does Not Match,Yes,Yes
