Gene_Name,KO_M1_ImprintStatus,WT_M3_ImprintStatus,KO_M2_ImprintStatus,WT_F1_ImprintStatus,HT_F1_ImprintStatus,HT_F2_ImprintStatus,KO_M3_ImprintStatus,WT_M1_ImprintStatus,WT_M2_ImprintStatus,HT_F3_ImprintStatus,WT_F2_ImprintStatus,WT_F3_ImprintStatus,Imprinted_Mice_Count,Maternally_Imprinted_Mice_Count,Paternally_Imprinted_Mice_Count,Overall_Expression_Status,Percent_Maternally_Imprinted,Percent_Paternally_Imprinted
0610038B21Rik,Paternally Imprinted,N/A,N/A,Paternally Imprinted,Paternally Imprinted,N/A,Paternally Imprinted,N/A,N/A,N/A,N/A,N/A,4,0,4,Maternal,0,100
0610039K10Rik,N/A,N/A,N/A,N/A,Paternally Imprinted,N/A,Paternally Imprinted,N/A,Paternally Imprinted,Paternally Imprinted,N/A,N/A,4,0,4,Maternal,0,100
0610040B10Rik,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Biallelic,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Biallelic,Paternally Imprinted,Biallelic,Paternally Imprinted,9,0,9,Maternal,0,100
0610040F04Rik,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,12,0,12,Maternal,0,100
0610043K17Rik,Biallelic,Paternally Imprinted,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Paternally Imprinted,Biallelic,Paternally Imprinted,Biallelic,Biallelic,3,0,3,Maternal,0,100
1110002E22Rik,Biallelic,Paternally Imprinted,Biallelic,Maternally Imprinted,Biallelic,Biallelic,Maternally Imprinted,Maternally Imprinted,Biallelic,Maternally Imprinted,Biallelic,Biallelic,5,4,1,Inconsistent,80,20
1110002J07Rik,Biallelic,Paternally Imprinted,N/A,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Maternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,10,1,9,Inconsistent,10,90
1110006O24Rik,Biallelic,Biallelic,Paternally Imprinted,Biallelic,Biallelic,Paternally Imprinted,Biallelic,Biallelic,Biallelic,Paternally Imprinted,Paternally Imprinted,Biallelic,4,0,4,Maternal,0,100
1110008P14Rik,Maternally Imprinted,Paternally Imprinted,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Maternally Imprinted,Biallelic,Biallelic,3,2,1,Inconsistent,66.7,33.3
1110015O18Rik,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Biallelic,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Biallelic,Biallelic,Paternally Imprinted,Paternally Imprinted,9,0,9,Maternal,0,100
1110019D14Rik,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,12,0,12,Maternal,0,100
1110020A21Rik,Biallelic,Paternally Imprinted,Paternally Imprinted,Biallelic,Biallelic,Maternally Imprinted,Paternally Imprinted,Paternally Imprinted,Biallelic,Paternally Imprinted,Paternally Imprinted,Biallelic,7,1,6,Inconsistent,14.3,85.7
1110028F11Rik,Paternally Imprinted,N/A,Paternally Imprinted,Paternally Imprinted,N/A,N/A,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,N/A,Paternally Imprinted,N/A,7,0,7,Maternal,0,100
1110046J04Rik,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Biallelic,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,11,0,11,Maternal,0,100
1110059E24Rik,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Maternally Imprinted,Biallelic,1,1,0,Paternal,100,0
1110059G10Rik,Biallelic,Paternally Imprinted,Paternally Imprinted,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Paternally Imprinted,Biallelic,Biallelic,3,0,3,Maternal,0,100
1300017J02Rik,N/A,N/A,N/A,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,N/A,Paternally Imprinted,Paternally Imprinted,N/A,N/A,Paternally Imprinted,6,0,6,Maternal,0,100
1500004A13Rik,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,12,12,0,Paternal,100,0
1500009C09Rik,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Biallelic,Biallelic,Biallelic,Biallelic,Maternally Imprinted,Biallelic,7,7,0,Paternal,100,0
1500012K07Rik,Biallelic,Paternally Imprinted,Biallelic,Paternally Imprinted,Paternally Imprinted,Biallelic,Paternally Imprinted,Paternally Imprinted,Biallelic,Biallelic,Paternally Imprinted,Biallelic,6,0,6,Maternal,0,100
1500015A07Rik,Biallelic,Paternally Imprinted,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,1,0,1,Maternal,0,100
1500015L24Rik,N/A,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,11,0,11,Maternal,0,100
1500035N22Rik,Maternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Biallelic,Paternally Imprinted,N/A,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,10,1,9,Inconsistent,10,90
1600010M07Rik,N/A,N/A,N/A,N/A,Paternally Imprinted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,1,Maternal,0,100
1600014C10Rik,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Biallelic,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Biallelic,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,10,10,0,Paternal,100,0
1600014C23Rik,N/A,N/A,N/A,N/A,Paternally Imprinted,N/A,Paternally Imprinted,N/A,Paternally Imprinted,N/A,Paternally Imprinted,N/A,4,0,4,Maternal,0,100
1600015H23Rik,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paternally Imprinted,Paternally Imprinted,N/A,N/A,2,0,2,Maternal,0,100
1600023N17Rik,N/A,N/A,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,10,0,10,Maternal,0,100
1600029I14Rik,N/A,Paternally Imprinted,N/A,Biallelic,Biallelic,Paternally Imprinted,N/A,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,7,0,7,Maternal,0,100
1600029O15Rik,Paternally Imprinted,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,1,0,1,Maternal,0,100
1700001G11Rik,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Biallelic,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,11,0,11,Maternal,0,100
1700001G17Rik,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,12,0,12,Maternal,0,100
1700001O22Rik,Paternally Imprinted,Biallelic,Paternally Imprinted,Biallelic,Paternally Imprinted,Paternally Imprinted,Biallelic,Biallelic,Biallelic,Paternally Imprinted,Paternally Imprinted,Biallelic,6,0,6,Maternal,0,100
1700001P01Rik,N/A,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,N/A,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,10,0,10,Maternal,0,100
1700003D09Rik,N/A,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Biallelic,Paternally Imprinted,Paternally Imprinted,Biallelic,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,9,0,9,Maternal,0,100
1700003F12Rik,Paternally Imprinted,N/A,N/A,Paternally Imprinted,Paternally Imprinted,N/A,Paternally Imprinted,N/A,N/A,Paternally Imprinted,N/A,N/A,5,0,5,Maternal,0,100
1700003G18Rik,N/A,N/A,N/A,Paternally Imprinted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,1,Maternal,0,100
1700003L19Rik,N/A,N/A,N/A,Paternally Imprinted,N/A,N/A,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,N/A,Paternally Imprinted,N/A,5,0,5,Maternal,0,100
1700003M07Rik,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,Maternally Imprinted,12,12,0,Paternal,100,0
1700006F04Rik,N/A,Paternally Imprinted,Paternally Imprinted,N/A,Paternally Imprinted,Paternally Imprinted,N/A,Paternally Imprinted,Biallelic,N/A,Paternally Imprinted,Paternally Imprinted,7,0,7,Maternal,0,100
1700007F19Rik,N/A,Paternally Imprinted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paternally Imprinted,N/A,N/A,2,0,2,Maternal,0,100
1700007J10Rik,N/A,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,11,0,11,Maternal,0,100
1700007K13Rik,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Paternally Imprinted,Biallelic,Biallelic,1,0,1,Maternal,0,100
1700007L15Rik,Biallelic,Paternally Imprinted,Paternally Imprinted,Biallelic,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,10,0,10,Maternal,0,100
1700007P06Rik,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,N/A,Paternally Imprinted,11,0,11,Maternal,0,100
1700008O03Rik,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Biallelic,Biallelic,Paternally Imprinted,Biallelic,Biallelic,Maternally Imprinted,Paternally Imprinted,Paternally Imprinted,Biallelic,7,1,6,Inconsistent,14.3,85.7
1700009C05Rik,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,N/A,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,N/A,Paternally Imprinted,10,0,10,Maternal,0,100
1700010I14Rik,Paternally Imprinted,Maternally Imprinted,Paternally Imprinted,Paternally Imprinted,Biallelic,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Biallelic,10,1,9,Inconsistent,10,90
1700010K23Rik,N/A,N/A,Paternally Imprinted,Paternally Imprinted,Biallelic,Paternally Imprinted,Paternally Imprinted,Biallelic,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,Paternally Imprinted,8,0,8,Maternal,0,100
1700012B09Rik,Paternally Imprinted,Biallelic,Biallelic,Biallelic,Biallelic,Biallelic,Paternally Imprinted,Biallelic,Biallelic,Paternally Imprinted,Paternally Imprinted,Biallelic,4,0,4,Maternal,0,100
1700012C14Rik,N/A,N/A,Paternally Imprinted,N/A,Paternally Imprinted,Paternally Imprinted,N/A,N/A,N/A,N/A,N/A,N/A,3,0,3,Maternal,0,100
1700012D01Rik,Biallelic,Paternally Imprinted,Paternally Imprinted,Biallelic,Biallelic,Paternally Imprinted,Biallelic,Paternally Imprinted,Biallelic,Paternally Imprinted,Paternally Imprinted,Biallelic,6,0,6,Maternal,0,100
