Gene_Allele,KO_M1,WT_M3,KO_M2,WT_F1,HT_F1,HT_F2,KO_M3,WT_M1,WT_M2,HT_F3,WT_F2,WT_F3,Allele_Source,Gene,Status,Expressed_Allele
Adam23_129,3192,5308,6158,7596,9853,5361,6046,8669,12231,8059,6855,8078,Maternal,Adam23,Imprinted,Paternal
Adam23_JF1,4003,6462,8163,9544,13244,7861,8694,10516,15193,10198,8540,9448,Paternal,Adam23,Imprinted,Paternal
Ampd3_129,474,409,929,528,1478,637,795,738,1199,415,587,712,Maternal,Ampd3,Imprinted,Maternal
Ampd3_JF1,516,509,741,685,1381,903,772,581,940,726,621,959,Paternal,Ampd3,Imprinted,Maternal
Ano1_129,27,121,65,74,156,81,43,52,198,90,59,84,Maternal,Ano1,Imprinted,Maternal
Ano1_JF1,93,0,116,139,205,80,92,110,167,127,117,162,Paternal,Ano1,Imprinted,Maternal
Aqp1_129,539,751,34,1995,1472,234,53,1222,1127,55,66,1351,Maternal,Aqp1,Imprinted,Maternal
Aqp1_JF1,369,757,0,1675,1141,297,0,1030,1113,55,0,1181,Paternal,Aqp1,Imprinted,Maternal
Asb4_129,7,3,22,43,72,11,8,7,24,14,30,42,Maternal,Asb4,Imprinted,Maternal
Asb4_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Asb4,Imprinted,Maternal
Ascl2_129,5,1,1,5,13,3,9,3,10,7,5,9,Maternal,Ascl2,Imprinted,Maternal
Ascl2_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Ascl2,Imprinted,Maternal
Axl_129,1483,1202,1682,1618,2579,1692,1824,1774,2430,1702,1590,1687,Maternal,Axl,Imprinted,Maternal
Axl_JF1,1254,898,1575,1224,2407,1444,1568,1459,2350,1398,1150,1592,Paternal,Axl,Imprinted,Maternal
Begain_129,1141,1797,1098,959,3035,2028,820,2335,1939,654,2284,1243,Maternal,Begain,Imprinted - Isoform Dependent,Paternal
Begain_JF1,4298,2500,3888,3746,5586,3297,4559,2965,6415,3604,2781,4611,Paternal,Begain,Imprinted - Isoform Dependent,Paternal
Blcap_129,2474,2440,3671,3595,7593,3918,3372,2726,5070,2389,3357,4480,Maternal,Blcap,Imprinted - Isoform Dependent,Maternal
Blcap_JF1,1193,1490,1989,2325,3493,2085,2078,2341,3431,1945,1839,2345,Paternal,Blcap,Imprinted - Isoform Dependent,Maternal
Calcr_129,47,0,14,18,469,1,3,13,9,1,3,37,Maternal,Calcr,Imprinted,Maternal
Calcr_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Calcr,Imprinted,Maternal
Ccdc40_129,73,59,82,208,274,145,75,78,139,85,96,82,Maternal,Ccdc40,Imprinted,Paternal
Ccdc40_JF1,76,49,49,168,193,104,16,91,125,0,38,110,Paternal,Ccdc40,Imprinted,Paternal
Cd81_129,6426,7087,9850,10977,13805,9248,7998,7968,12089,8018,7469,10554,Maternal,Cd81,Imprinted,Maternal
Cd81_JF1,4152,3646,4927,5399,10021,5255,6927,6011,10045,5411,6067,6805,Paternal,Cd81,Imprinted,Maternal
Cdh15_129,32,2,1,2,8,31,0,46,4,2,0,3,Maternal,Cdh15,Imprinted,Paternal
Cdh15_JF1,0,39,150,68,226,0,158,0,97,83,61,92,Paternal,Cdh15,Imprinted,Paternal
Cdkn1c_129,502,416,158,1194,1342,265,187,493,688,235,133,654,Maternal,Cdkn1c,Imprinted,Maternal
Cdkn1c_JF1,39,30,18,25,11,12,7,10,57,32,20,22,Paternal,Cdkn1c,Imprinted,Maternal
Chrac1_129,116,124,165,165,261,147,95,139,229,123,143,203,Maternal,Chrac1,Imprinted,Maternal
Chrac1_JF1,111,71,143,193,275,164,166,125,226,122,96,159,Paternal,Chrac1,Imprinted,Maternal
Commd1_129,493,468,585,738,755,611,679,656,613,579,603,789,Maternal,Commd1,Imprinted,Maternal
Commd1_JF1,0,0,0,0,252,0,0,0,307,34,0,0,Paternal,Commd1,Imprinted,Maternal
Copg2_129,2243,2338,3992,4881,5343,4906,4702,4338,7674,4597,2625,5058,Maternal,Copg2,Imprinted,Maternal
Copg2_JF1,1365,3052,3060,2828,5898,1862,2866,4003,5166,3122,4111,3639,Paternal,Copg2,Imprinted,Maternal
Dact2_129,863,203,737,680,1391,318,333,662,471,832,635,833,Maternal,Dact2,Imprinted,Maternal
Dact2_JF1,799,629,772,808,1251,1002,1123,725,1437,841,628,735,Paternal,Dact2,Imprinted,Maternal
Dcn_129,318,234,1509,862,2539,4294,1160,225,1050,168,300,1951,Maternal,Dcn,Imprinted,Maternal
Dcn_JF1,228,179,963,547,1672,2315,688,223,598,155,169,1232,Paternal,Dcn,Imprinted,Maternal
Ddc_129,113,161,174,150,462,40,179,105,107,56,59,180,Maternal,Ddc,Imprinted,Paternal
Ddc_JF1,245,0,303,408,392,312,252,173,384,167,172,354,Paternal,Ddc,Imprinted,Paternal
Dhcr7_129,674,806,1299,1237,1706,772,916,1218,1605,1067,1006,1142,Maternal,Dhcr7,Imprinted,Maternal
Dhcr7_JF1,760,958,1226,1531,2213,1040,1145,1364,2249,949,1218,1474,Paternal,Dhcr7,Imprinted,Maternal
Dio3_129,75,35,140,115,199,308,109,29,170,7,37,160,Maternal,Dio3,Imprinted,Paternal
Dio3_JF1,64,0,116,49,416,382,109,0,0,0,0,195,Paternal,Dio3,Imprinted,Paternal
Dlk1_129,0,0,0,0,16,8,0,0,0,39,128,0,Maternal,Dlk1,Imprinted,Paternal
Dlk1_JF1,786,172,645,461,2392,545,375,132,364,0,0,393,Paternal,Dlk1,Imprinted,Paternal
Fkbp6_129,0,8,13,1,6,0,4,0,5,1,0,2,Maternal,Fkbp6,Imprinted,Paternal
Fkbp6_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Fkbp6,Imprinted,Paternal
Fthl17a_129,0,0,1,0,0,0,0,0,0,0,0,0,Maternal,Fthl17a,Imprinted,Paternal
Fthl17a_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Fthl17a,Imprinted,Paternal
Fthl17b_129,0,0,0,0,0,0,0,0,0,0,0,1,Maternal,Fthl17b,Imprinted,Paternal
Fthl17b_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Fthl17b,Imprinted,Paternal
Fthl17c_129,0,0,0,0,0,0,0,0,0,0,0,0,Maternal,Fthl17c,Imprinted,Paternal
Fthl17c_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Fthl17c,Imprinted,Paternal
Fthl17d_129,0,0,0,0,0,0,0,0,0,0,0,0,Maternal,Fthl17d,Imprinted,Paternal
Fthl17d_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Fthl17d,Imprinted,Paternal
Fthl17e_129,0,0,0,0,0,0,0,0,0,0,0,0,Maternal,Fthl17e,Imprinted,Paternal
Fthl17e_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Fthl17e,Imprinted,Paternal
Fthl17f_129,0,0,0,0,0,0,0,0,0,3,0,0,Maternal,Fthl17f,Imprinted,Paternal
Fthl17f_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Fthl17f,Imprinted,Paternal
Ftx_129,903,1248,1500,963,2042,686,1431,1383,1631,848,941,870,Maternal,Ftx,Imprinted,Paternal
Ftx_JF1,28,40,42,619,1601,930,42,42,46,340,722,902,Paternal,Ftx,Imprinted,Paternal
Gab1_129,1084,823,1113,1964,2107,1065,1165,1289,1772,1166,1258,1061,Maternal,Gab1,Imprinted,Paternal
Gab1_JF1,957,842,1388,2015,2250,1071,1091,2068,2278,1162,1421,1730,Paternal,Gab1,Imprinted,Paternal
Galnt6_129,117,281,421,1044,602,275,364,208,266,132,468,202,Maternal,Galnt6,Imprinted,Paternal
Galnt6_JF1,335,216,312,548,547,147,346,656,686,473,329,495,Paternal,Galnt6,Imprinted,Paternal
Gatm_129,1311,1569,2288,3630,4289,1895,2217,2863,4299,2365,2519,3260,Maternal,Gatm,Imprinted,Maternal
Gatm_JF1,2021,1912,2525,4131,3767,2050,2612,3476,4110,2833,3284,2811,Paternal,Gatm,Imprinted,Maternal
Gm35612_129,82,23,44,20,51,9,65,34,61,20,22,30,Maternal,Gm35612,Imprinted,Maternal
Gm35612_JF1,0,0,0,0,0,0,0,0,0,0,1,0,Paternal,Gm35612,Imprinted,Maternal
Gnai3_129,1138,1165,1471,1823,2590,1532,1653,1931,2279,1430,1388,1772,Maternal,Gnai3,Predicted,Maternal
Gnai3_JF1,588,844,1144,1522,2180,1033,1096,1479,1949,1359,1221,1563,Paternal,Gnai3,Predicted,Maternal
Gnas_129,18142,16021,26242,28859,35499,22387,20874,22487,35998,22914,21886,24000,Maternal,Gnas,Imprinted - Isoform Dependent,Maternal
Gnas_JF1,26667,32399,33932,34570,51965,32394,37962,33302,49972,29572,33045,44022,Paternal,Gnas,Imprinted - Isoform Dependent,Maternal
Grb10_129,228,255,165,485,579,153,256,474,410,107,77,635,Maternal,Grb10,Imprinted - Isoform Dependent,Maternal
Grb10_JF1,1919,1314,2988,1978,7166,2571,2184,1478,3177,1618,1498,2163,Paternal,Grb10,Imprinted - Isoform Dependent,Maternal
H13_129,1366,1521,3,1762,4586,2042,1755,2002,2,3,0,2409,Maternal,H13,Imprinted,Maternal
H13_JF1,1068,1262,3344,2113,3431,1815,1590,1436,5328,2667,3343,2092,Paternal,H13,Imprinted,Maternal
H19_129,1,7,1,16,2,1,2,6,3,11,6,4,Maternal,H19,Imprinted,Maternal
H19_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,H19,Imprinted,Maternal
Htr2a_129,479,241,352,326,891,621,707,628,915,580,196,631,Maternal,Htr2a,Imprinted,Maternal
Htr2a_JF1,200,269,582,448,755,253,478,551,491,482,424,538,Paternal,Htr2a,Imprinted,Maternal
Hymai_129,23,68,74,73,0,35,46,17,85,21,51,69,Maternal,Hymai,Imprinted,Paternal
Hymai_JF1,0,0,0,0,136,0,0,0,0,0,0,0,Paternal,Hymai,Imprinted,Paternal
Igf2_129,4564,7404,983,16793,10632,3733,925,10533,9990,1810,1447,9668,Maternal,Igf2,Imprinted,Paternal
Igf2_JF1,3021,5173,199,11951,6890,1737,297,7219,6765,636,584,6861,Paternal,Igf2,Imprinted,Paternal
Igf2r_129,1912,1929,2739,3753,4313,2590,2569,3595,4278,2881,2928,4028,Maternal,Igf2r,Tissue Dependent,Maternal
Igf2r_JF1,1746,1718,2103,3067,4927,2092,2272,2240,4149,1834,1737,2221,Paternal,Igf2r,Tissue Dependent,Maternal
Impact_129,6406,9468,13993,13498,27098,15344,14376,12891,19288,11230,12029,17237,Maternal,Impact,Imprinted,Paternal
Impact_JF1,2792,2333,4429,3608,9787,4597,5741,2970,6191,3721,2961,4662,Paternal,Impact,Imprinted,Paternal
Inpp5f_129,3723,4049,5538,6606,5696,3971,6750,5919,6325,5473,5836,5501,Maternal,Inpp5f,Imprinted,Paternal
Inpp5f_JF1,1887,3603,4150,4497,10849,5465,3809,5754,10620,4827,3970,5813,Paternal,Inpp5f,Imprinted,Paternal
Ins2_129,73,19,0,41,39,10,0,23,30,1,0,15,Maternal,Ins2,Imprinted,Paternal
Ins2_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Ins2,Imprinted,Paternal
Jade1_129,702,505,838,861,1996,818,842,811,1269,737,789,975,Maternal,Jade1,Imprinted,Paternal
Jade1_JF1,1665,1114,1552,1942,2980,1630,1815,2097,2546,1833,1411,2035,Paternal,Jade1,Imprinted,Paternal
Jpx_129,293,291,383,234,382,148,406,391,539,257,185,221,Maternal,Jpx,Imprinted,Paternal
Jpx_JF1,0,0,0,128,250,101,0,0,0,116,77,138,Paternal,Jpx,Imprinted,Paternal
Kcnk9_129,2889,2550,4032,3281,11954,5942,4315,2953,5183,2419,3602,4950,Maternal,Kcnk9,Imprinted,Maternal
Kcnk9_JF1,33,53,67,24,127,24,56,63,31,49,60,50,Paternal,Kcnk9,Imprinted,Maternal
Kcnq1_129,11,17,12,16,45,26,25,24,43,26,18,33,Maternal,Kcnq1,Imprinted,Maternal
Kcnq1_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Kcnq1,Imprinted,Maternal
Kcnq1ot1_129,88,0,0,96,64,5,3,2,6,0,2,84,Maternal,Kcnq1ot1,Imprinted,Paternal
Kcnq1ot1_JF1,3595,5480,5416,4476,9806,3563,3047,4582,6521,3573,4526,5396,Paternal,Kcnq1ot1,Imprinted,Paternal
Klf14_129,30,11,40,33,70,60,73,13,62,1,32,82,Maternal,Klf14,Imprinted,Maternal
Klf14_JF1,0,0,0,0,6,0,0,0,0,0,0,0,Paternal,Klf14,Imprinted,Maternal
Maged2_129,1642,1600,2077,1136,2205,890,2268,1942,3657,1115,762,1209,Maternal,Maged2,Imprinted,Maternal
Maged2_JF1,0,0,0,909,1701,1445,0,0,0,457,964,1412,Paternal,Maged2,Imprinted,Maternal
