Gene_Allele,Allele_Source,Gene,Status,Expressed_Allele,Sample,RawCount,Group,log2_count
Adam23_129,Maternal,Adam23,Imprinted,Paternal,WT_M1,8669,WT Male,13.081816278109198
Adam23_129,Maternal,Adam23,Imprinted,Paternal,WT_M2,12231,WT Male,13.578372691360805
Adam23_129,Maternal,Adam23,Imprinted,Paternal,WT_M3,5308,WT Male,12.374224426123732
Adam23_129,Maternal,Adam23,Imprinted,Paternal,WT_F1,7596,WT Female,12.89121410590583
Adam23_129,Maternal,Adam23,Imprinted,Paternal,WT_F2,6855,WT Female,12.7431513941125
Adam23_129,Maternal,Adam23,Imprinted,Paternal,WT_F3,8078,WT Female,12.979961015222829
Adam23_129,Maternal,Adam23,Imprinted,Paternal,HT_F1,9853,HT Female,13.266493756312183
Adam23_129,Maternal,Adam23,Imprinted,Paternal,HT_F2,5361,HT Female,12.38855550398256
Adam23_129,Maternal,Adam23,Imprinted,Paternal,HT_F3,8059,HT Female,12.97656412341533
Adam23_129,Maternal,Adam23,Imprinted,Paternal,KO_M1,3192,KO Male,11.640696837570093
Adam23_129,Maternal,Adam23,Imprinted,Paternal,KO_M2,6158,KO Male,12.588480412829758
Adam23_129,Maternal,Adam23,Imprinted,Paternal,KO_M3,6046,KO Male,12.562003863651553
Adam23_JF1,Paternal,Adam23,Imprinted,Paternal,WT_M1,10516,WT Male,13.36043561057107
Adam23_JF1,Paternal,Adam23,Imprinted,Paternal,WT_M2,15193,WT Male,13.89121410590583
Adam23_JF1,Paternal,Adam23,Imprinted,Paternal,WT_M3,6462,WT Male,12.657988276277939
Adam23_JF1,Paternal,Adam23,Imprinted,Paternal,WT_F1,9544,WT Female,13.2205294822913
Adam23_JF1,Paternal,Adam23,Imprinted,Paternal,WT_F2,8540,WT Female,13.060189278463422
Adam23_JF1,Paternal,Adam23,Imprinted,Paternal,WT_F3,9448,WT Female,13.205945939775761
Adam23_JF1,Paternal,Adam23,Imprinted,Paternal,HT_F1,13244,HT Female,13.693160223256985
Adam23_JF1,Paternal,Adam23,Imprinted,Paternal,HT_F2,7861,HT Female,12.940680648424093
Adam23_JF1,Paternal,Adam23,Imprinted,Paternal,HT_F3,10198,HT Female,13.316140084122116
Adam23_JF1,Paternal,Adam23,Imprinted,Paternal,KO_M1,4003,KO Male,11.967226258835993
Adam23_JF1,Paternal,Adam23,Imprinted,Paternal,KO_M2,8163,KO Male,12.995060467032719
Adam23_JF1,Paternal,Adam23,Imprinted,Paternal,KO_M3,8694,KO Male,13.08597031219395
Ampd3_129,Maternal,Ampd3,Imprinted,Maternal,WT_M1,738,WT Male,9.52943055414615
Ampd3_129,Maternal,Ampd3,Imprinted,Maternal,WT_M2,1199,WT Male,10.228818690495881
Ampd3_129,Maternal,Ampd3,Imprinted,Maternal,WT_M3,409,WT Male,8.679480099505446
Ampd3_129,Maternal,Ampd3,Imprinted,Maternal,WT_F1,528,WT Female,9.047123912114026
Ampd3_129,Maternal,Ampd3,Imprinted,Maternal,WT_F2,587,WT Female,9.199672344836364
Ampd3_129,Maternal,Ampd3,Imprinted,Maternal,WT_F3,712,WT Female,9.477758266443889
Ampd3_129,Maternal,Ampd3,Imprinted,Maternal,HT_F1,1478,HT Female,10.530406337099068
Ampd3_129,Maternal,Ampd3,Imprinted,Maternal,HT_F2,637,HT Female,9.31741261376487
Ampd3_129,Maternal,Ampd3,Imprinted,Maternal,HT_F3,415,HT Female,8.700439718141093
