Gene,Status,Expressed_Allele,Sample,Group,Maternal,Paternal,Total_Count,AER,Observed_Expression,log2_total_count
Adam23,Imprinted,Paternal,WT_M1,WT Male,8669,10516,19185,-0.09627313004951785,Not Imprinted,14.227766341646404
Adam23,Imprinted,Paternal,WT_M2,WT Male,12231,15193,27424,-0.10800758459743291,Not Imprinted,14.743204000177917
Adam23,Imprinted,Paternal,WT_M3,WT Male,5308,6462,11770,-0.09804587935429057,Not Imprinted,13.522949268639264
Adam23,Imprinted,Paternal,WT_F1,WT Female,7596,9544,17140,-0.11365227537922987,Not Imprinted,14.065163657783812
Adam23,Imprinted,Paternal,WT_F2,WT Female,6855,8540,15395,-0.10945112049366677,Not Imprinted,13.91026795581084
Adam23,Imprinted,Paternal,WT_F3,WT Female,8078,9448,17526,-0.07816957662900834,Not Imprinted,14.097291458618448
Adam23,Imprinted,Paternal,HT_F1,HT Female,9853,13244,23097,-0.14681560375806382,Not Imprinted,14.49548031712162
Adam23,Imprinted,Paternal,HT_F2,HT Female,5361,7861,13222,-0.18907880804719407,Not Imprinted,13.690761908445975
Adam23,Imprinted,Paternal,HT_F3,HT Female,8059,10198,18257,-0.11716054116229392,Not Imprinted,14.156241119235752
Adam23,Imprinted,Paternal,KO_M1,KO Male,3192,4003,7195,-0.11271716469770673,Not Imprinted,12.812979471251483
Adam23,Imprinted,Paternal,KO_M2,KO Male,6158,8163,14321,-0.14000418965156064,Not Imprinted,13.805945351802933
Adam23,Imprinted,Paternal,KO_M3,KO Male,6046,8694,14740,-0.1796472184531886,Not Imprinted,13.847546776852514
Ampd3,Imprinted,Maternal,WT_M1,WT Male,738,581,1319,0.11902956785443518,Not Imprinted,10.366322214245816
Ampd3,Imprinted,Maternal,WT_M2,WT Male,1199,940,2139,0.12108461898083217,Not Imprinted,11.06339508128851
Ampd3,Imprinted,Maternal,WT_M3,WT Male,409,509,918,-0.10893246187363835,Not Imprinted,9.843921051289035
Ampd3,Imprinted,Maternal,WT_F1,WT Female,528,685,1213,-0.12943116240725475,Not Imprinted,10.245552706255681
Ampd3,Imprinted,Maternal,WT_F2,WT Female,587,621,1208,-0.028145695364238412,Not Imprinted,10.239598529249124
Ampd3,Imprinted,Maternal,WT_F3,WT Female,712,959,1671,-0.1478156792339916,Not Imprinted,10.707359132080883
Ampd3,Imprinted,Maternal,HT_F1,HT Female,1478,1381,2859,0.033927946834557535,Not Imprinted,11.481799431665753
Ampd3,Imprinted,Maternal,HT_F2,HT Female,637,903,1540,-0.17272727272727273,Not Imprinted,10.589651146514786
Ampd3,Imprinted,Maternal,HT_F3,HT Female,415,726,1141,-0.27256792287467135,Not Imprinted,10.157346935362844
Ampd3,Imprinted,Maternal,KO_M1,KO Male,474,516,990,-0.04242424242424243,Not Imprinted,9.952741247186488
Ampd3,Imprinted,Maternal,KO_M2,KO Male,929,741,1670,0.1125748502994012,Not Imprinted,10.706496018061188
Ampd3,Imprinted,Maternal,KO_M3,KO Male,795,772,1567,0.014677728142948309,Not Imprinted,10.614709844115207
Ano1,Imprinted,Maternal,WT_M1,WT Male,52,110,162,-0.35802469135802467,Not Imprinted,7.348728154231077
Ano1,Imprinted,Maternal,WT_M2,WT Male,198,167,365,0.08493150684931507,Not Imprinted,8.515699838284043
Ano1,Imprinted,Maternal,WT_M3,WT Male,121,0,121,1,Maternal,6.930737337562887
Ano1,Imprinted,Maternal,WT_F1,WT Female,74,139,213,-0.3051643192488263,Not Imprinted,7.741466986401147
Ano1,Imprinted,Maternal,WT_F2,WT Female,59,117,176,-0.32954545454545453,Not Imprinted,7.467605550082998
Ano1,Imprinted,Maternal,WT_F3,WT Female,84,162,246,-0.3170731707317073,Not Imprinted,7.948367231584678
Ano1,Imprinted,Maternal,HT_F1,HT Female,156,205,361,-0.13573407202216067,Not Imprinted,8.499845887083206
Ano1,Imprinted,Maternal,HT_F2,HT Female,81,80,161,0.006211180124223602,Not Imprinted,7.339850002884624
Ano1,Imprinted,Maternal,HT_F3,HT Female,90,127,217,-0.17050691244239632,Not Imprinted,7.768184324776926
Ano1,Imprinted,Maternal,KO_M1,KO Male,27,93,120,-0.55,Not Imprinted,6.918863237274595
Ano1,Imprinted,Maternal,KO_M2,KO Male,65,116,181,-0.281767955801105,Not Imprinted,7.507794640198696
Ano1,Imprinted,Maternal,KO_M3,KO Male,43,92,135,-0.362962962962963,Not Imprinted,7.087462841250339
Aqp1,Imprinted,Maternal,WT_M1,WT Male,1222,1030,2252,0.0852575488454707,Not Imprinted,11.137631598235428
Aqp1,Imprinted,Maternal,WT_M2,WT Male,1127,1113,2240,0.00625,Not Imprinted,11.129926933510394
Aqp1,Imprinted,Maternal,WT_M3,WT Male,751,757,1508,-0.003978779840848806,Not Imprinted,10.559377090526683
Aqp1,Imprinted,Maternal,WT_F1,WT Female,1995,1675,3670,0.08719346049046321,Not Imprinted,11.841957399099547
Aqp1,Imprinted,Maternal,WT_F2,WT Female,66,0,66,1,Maternal,6.066089190457772
Aqp1,Imprinted,Maternal,WT_F3,WT Female,1351,1181,2532,0.06714060031595577,Not Imprinted,11.306631361712501
Aqp1,Imprinted,Maternal,HT_F1,HT Female,1472,1141,2613,0.12667432070417145,Not Imprinted,11.352043425795433
Aqp1,Imprinted,Maternal,HT_F2,HT Female,234,297,531,-0.11864406779661017,Not Imprinted,9.055282435501189
Aqp1,Imprinted,Maternal,HT_F3,HT Female,55,55,110,0,Not Imprinted,6.794415866350106
Aqp1,Imprinted,Maternal,KO_M1,KO Male,539,369,908,0.18722466960352424,Not Imprinted,9.828136484194108
Aqp1,Imprinted,Maternal,KO_M2,KO Male,34,0,34,1,Maternal,5.129283016944966
Aqp1,Imprinted,Maternal,KO_M3,KO Male,53,0,53,1,Maternal,5.754887502163468
Asb4,Imprinted,Maternal,WT_M1,WT Male,7,0,7,1,Maternal,3
Asb4,Imprinted,Maternal,WT_M2,WT Male,24,0,24,1,Maternal,4.643856189774724
Asb4,Imprinted,Maternal,WT_M3,WT Male,3,0,3,1,Maternal,2
Asb4,Imprinted,Maternal,WT_F1,WT Female,43,0,43,1,Maternal,5.459431618637297
Asb4,Imprinted,Maternal,WT_F2,WT Female,30,0,30,1,Maternal,4.954196310386875
Asb4,Imprinted,Maternal,WT_F3,WT Female,42,0,42,1,Maternal,5.426264754702098
Asb4,Imprinted,Maternal,HT_F1,HT Female,72,0,72,1,Maternal,6.189824558880018
Asb4,Imprinted,Maternal,HT_F2,HT Female,11,0,11,1,Maternal,3.584962500721156
Asb4,Imprinted,Maternal,HT_F3,HT Female,14,0,14,1,Maternal,3.9068905956085187
Asb4,Imprinted,Maternal,KO_M1,KO Male,7,0,7,1,Maternal,3
Asb4,Imprinted,Maternal,KO_M2,KO Male,22,0,22,1,Maternal,4.523561956057013
Asb4,Imprinted,Maternal,KO_M3,KO Male,8,0,8,1,Maternal,3.169925001442312
Ascl2,Imprinted,Maternal,WT_M1,WT Male,3,0,3,1,Maternal,2
Ascl2,Imprinted,Maternal,WT_M2,WT Male,10,0,10,1,Maternal,3.4594316186372973
Ascl2,Imprinted,Maternal,WT_M3,WT Male,1,0,1,1,Maternal,1
Ascl2,Imprinted,Maternal,WT_F1,WT Female,5,0,5,1,Maternal,2.584962500721156
Ascl2,Imprinted,Maternal,WT_F2,WT Female,5,0,5,1,Maternal,2.584962500721156
Ascl2,Imprinted,Maternal,WT_F3,WT Female,9,0,9,1,Maternal,3.321928094887362
Ascl2,Imprinted,Maternal,HT_F1,HT Female,13,0,13,1,Maternal,3.807354922057604
