Gene,Status,Expressed_Allele,WT_M1,WT_M2,WT_M3,WT_F1,WT_F2,WT_F3,HT_F1,HT_F2,HT_F3,KO_M1,KO_M2,KO_M3
Adam23,Imprinted,Paternal,19185,27424,11770,17140,15395,17526,23097,13222,18257,7195,14321,14740
Ampd3,Imprinted,Maternal,1319,2139,918,1213,1208,1671,2859,1540,1141,990,1670,1567
Ano1,Imprinted,Maternal,162,365,121,213,176,246,361,161,217,120,181,135
Aqp1,Imprinted,Maternal,2252,2240,1508,3670,66,2532,2613,531,110,908,34,53
Asb4,Imprinted,Maternal,7,24,3,43,30,42,72,11,14,7,22,8
Ascl2,Imprinted,Maternal,3,10,1,5,5,9,13,3,7,5,1,9
Axl,Imprinted,Maternal,3233,4780,2100,2842,2740,3279,4986,3136,3100,2737,3257,3392
Begain,Imprinted - Isoform Dependent,Paternal,5300,8354,4297,4705,5065,5854,8621,5325,4258,5439,4986,5379
Blcap,Imprinted - Isoform Dependent,Maternal,5067,8501,3930,5920,5196,6825,11086,6003,4334,3667,5660,5450
Calcr,Imprinted,Maternal,13,9,0,18,3,37,469,1,1,47,14,3
Ccdc40,Imprinted,Paternal,169,264,108,376,134,192,467,249,85,149,131,91
Cd81,Imprinted,Maternal,13979,22134,10733,16376,13536,17359,23826,14503,13429,10578,14777,14925
Cdh15,Imprinted,Paternal,46,101,41,70,61,95,234,31,85,32,151,158
Cdkn1c,Imprinted,Maternal,503,745,446,1219,153,676,1353,277,267,541,176,194
Chrac1,Imprinted,Maternal,264,455,195,358,239,362,536,311,245,227,308,261
Commd1,Imprinted,Maternal,656,920,468,738,603,789,1007,611,613,493,585,679
Copg2,Imprinted,Maternal,8341,12840,5390,7709,6736,8697,11241,6768,7719,3608,7052,7568
Dact2,Imprinted,Maternal,1387,1908,832,1488,1263,1568,2642,1320,1673,1662,1509,1456
Dcn,Imprinted,Maternal,448,1648,413,1409,469,3183,4211,6609,323,546,2472,1848
Ddc,Imprinted,Paternal,278,491,161,558,231,534,854,352,223,358,477,431
Dhcr7,Imprinted,Maternal,2582,3854,1764,2768,2224,2616,3919,1812,2016,1434,2525,2061
Dio3,Imprinted,Paternal,29,170,35,164,37,355,615,690,7,139,256,218
Dlk1,Imprinted,Paternal,132,364,172,461,128,393,2408,553,39,786,645,375
Fkbp6,Imprinted,Paternal,0,5,8,1,0,2,6,0,1,0,13,4
Fthl17a,Imprinted,Paternal,0,0,0,0,0,0,0,0,0,0,1,0
Fthl17b,Imprinted,Paternal,0,0,0,0,0,1,0,0,0,0,0,0
Fthl17c,Imprinted,Paternal,0,0,0,0,0,0,0,0,0,0,0,0
Fthl17d,Imprinted,Paternal,0,0,0,0,0,0,0,0,0,0,0,0
Fthl17e,Imprinted,Paternal,0,0,0,0,0,0,0,0,0,0,0,0
Fthl17f,Imprinted,Paternal,0,0,0,0,0,0,0,0,3,0,0,0
Ftx,Imprinted,Paternal,1425,1677,1288,1582,1663,1772,3643,1616,1188,931,1542,1473
Gab1,Imprinted,Paternal,3357,4050,1665,3979,2679,2791,4357,2136,2328,2041,2501,2256
