Gene,Status,Expressed_Allele,Sample,RawCount,Group,log2_count
Adam23,Imprinted,Paternal,WT_M1,19185,WT Male,14.227766341646404
Adam23,Imprinted,Paternal,WT_M2,27424,WT Male,14.743204000177917
Adam23,Imprinted,Paternal,WT_M3,11770,WT Male,13.522949268639264
Adam23,Imprinted,Paternal,WT_F1,17140,WT Female,14.065163657783812
Adam23,Imprinted,Paternal,WT_F2,15395,WT Female,13.91026795581084
Adam23,Imprinted,Paternal,WT_F3,17526,WT Female,14.097291458618448
Adam23,Imprinted,Paternal,HT_F1,23097,HT Female,14.49548031712162
Adam23,Imprinted,Paternal,HT_F2,13222,HT Female,13.690761908445975
Adam23,Imprinted,Paternal,HT_F3,18257,HT Female,14.156241119235752
Adam23,Imprinted,Paternal,KO_M1,7195,KO Male,12.812979471251483
Adam23,Imprinted,Paternal,KO_M2,14321,KO Male,13.805945351802933
Adam23,Imprinted,Paternal,KO_M3,14740,KO Male,13.847546776852514
Ampd3,Imprinted,Maternal,WT_M1,1319,WT Male,10.366322214245816
Ampd3,Imprinted,Maternal,WT_M2,2139,WT Male,11.06339508128851
Ampd3,Imprinted,Maternal,WT_M3,918,WT Male,9.843921051289035
Ampd3,Imprinted,Maternal,WT_F1,1213,WT Female,10.245552706255681
Ampd3,Imprinted,Maternal,WT_F2,1208,WT Female,10.239598529249124
Ampd3,Imprinted,Maternal,WT_F3,1671,WT Female,10.707359132080883
Ampd3,Imprinted,Maternal,HT_F1,2859,HT Female,11.481799431665753
Ampd3,Imprinted,Maternal,HT_F2,1540,HT Female,10.589651146514786
Ampd3,Imprinted,Maternal,HT_F3,1141,HT Female,10.157346935362844
Ampd3,Imprinted,Maternal,KO_M1,990,KO Male,9.952741247186488
Ampd3,Imprinted,Maternal,KO_M2,1670,KO Male,10.706496018061188
Ampd3,Imprinted,Maternal,KO_M3,1567,KO Male,10.614709844115207
Ano1,Imprinted,Maternal,WT_M1,162,WT Male,7.348728154231077
Ano1,Imprinted,Maternal,WT_M2,365,WT Male,8.515699838284043
Ano1,Imprinted,Maternal,WT_M3,121,WT Male,6.930737337562887
Ano1,Imprinted,Maternal,WT_F1,213,WT Female,7.741466986401147
Ano1,Imprinted,Maternal,WT_F2,176,WT Female,7.467605550082998
Ano1,Imprinted,Maternal,WT_F3,246,WT Female,7.948367231584678
Ano1,Imprinted,Maternal,HT_F1,361,HT Female,8.499845887083206
Ano1,Imprinted,Maternal,HT_F2,161,HT Female,7.339850002884624
Ano1,Imprinted,Maternal,HT_F3,217,HT Female,7.768184324776926
Ano1,Imprinted,Maternal,KO_M1,120,KO Male,6.918863237274595
Ano1,Imprinted,Maternal,KO_M2,181,KO Male,7.507794640198696
Ano1,Imprinted,Maternal,KO_M3,135,KO Male,7.087462841250339
Aqp1,Imprinted,Maternal,WT_M1,2252,WT Male,11.137631598235428
Aqp1,Imprinted,Maternal,WT_M2,2240,WT Male,11.129926933510394
Aqp1,Imprinted,Maternal,WT_M3,1508,WT Male,10.559377090526683
Aqp1,Imprinted,Maternal,WT_F1,3670,WT Female,11.841957399099547
Aqp1,Imprinted,Maternal,WT_F2,66,WT Female,6.066089190457772
Aqp1,Imprinted,Maternal,WT_F3,2532,WT Female,11.306631361712501
Aqp1,Imprinted,Maternal,HT_F1,2613,HT Female,11.352043425795433
Aqp1,Imprinted,Maternal,HT_F2,531,HT Female,9.055282435501189
Aqp1,Imprinted,Maternal,HT_F3,110,HT Female,6.794415866350106
Aqp1,Imprinted,Maternal,KO_M1,908,KO Male,9.828136484194108
Aqp1,Imprinted,Maternal,KO_M2,34,KO Male,5.129283016944966
