Gene_Name,Imprinting_Category
0610009B22Rik,N
0610009E02Rik,N
0610009L18Rik,N
0610010F05Rik,N
0610010K14Rik,N
0610012G03Rik,N
0610030E20Rik,N
0610038B21Rik,P
0610039K10Rik,P
0610040B10Rik,P
0610040F04Rik,P
0610040J01Rik,N
0610043K17Rik,P
1110002E22Rik,M&P
1110002J07Rik,M&P
1110002L01Rik,N
1110004F10Rik,N
1110006O24Rik,P
1110008P14Rik,M&P
1110015O18Rik,P
1110017D15Rik,N
1110019D14Rik,P
1110020A21Rik,M&P
1110028F11Rik,P
1110032A03Rik,N
1110032F04Rik,N
1110038B12Rik,N
1110038F14Rik,N
1110046J04Rik,P
1110051M20Rik,N
1110059E24Rik,M
1110059G10Rik,P
1110065P20Rik,N
1190005I06Rik,N
1190007I07Rik,N
1300002E11Rik,N
1300017J02Rik,P
1500004A13Rik,M
1500009C09Rik,M
1500009L16Rik,N
1500011B03Rik,N
1500012K07Rik,P
1500015A07Rik,P
1500015L24Rik,P
1500026H17Rik,N
1500035N22Rik,M&P
1600010M07Rik,P
1600012H06Rik,N
1600014C10Rik,M
1600014C23Rik,P
1600015H23Rik,P
1600020E01Rik,N
1600023N17Rik,P
1600029I14Rik,P
1600029O15Rik,P
1700001G11Rik,P
1700001G17Rik,P
1700001L05Rik,N
1700001L19Rik,N
1700001O22Rik,P
1700001P01Rik,P
1700003D09Rik,P
1700003E16Rik,N
1700003F12Rik,P
1700003G18Rik,P
1700003L19Rik,P
1700003M07Rik,M
1700006F04Rik,P
1700007F19Rik,P
1700007J10Rik,P
1700007K13Rik,P
1700007L15Rik,P
1700007P06Rik,P
1700008J07Rik,N
1700008O03Rik,M&P
1700009C05Rik,P
1700010I14Rik,M&P
1700010K23Rik,P
1700012B09Rik,P
1700012C14Rik,P
1700012D01Rik,P
1700012D14Rik,M
1700012D16Rik,P
1700012H19Rik,P
1700012P22Rik,P
1700013F07Rik,P
1700016K19Rik,P
1700016L04Rik,M&P
1700017B05Rik,N
1700018A04Rik,P
1700018L02Rik,P
1700019A02Rik,P
1700019D03Rik,N
1700019G24Rik,P
1700019N19Rik,P
1700020D05Rik,P
1700020L24Rik,P
1700020N18Rik,P
1700022N22Rik,P
1700023D09Rik,P
1700023F02Rik,P
1700024B18Rik,P
1700024G13Rik,M&P
1700025G04Rik,M
1700026J14Rik,P
1700027H10Rik,P
1700028E10Rik,P
1700028I16Rik,P
1700028J19Rik,P
1700028K03Rik,M&P
1700028P14Rik,M
1700029H14Rik,P
1700029I15Rik,P
1700029J07Rik,M&P
1700030A11Rik,P
1700030C10Rik,P
1700030C12Rik,P
1700030C14Rik,M&P
1700030F04Rik,P
1700030J22Rik,M
1700030K09Rik,N
1700030M09Rik,P
1700034H15Rik,M&P
1700034P13Rik,P
1700037C18Rik,M&P
1700037H04Rik,N
1700039E22Rik,P
1700039M10Rik,P
1700040D17Rik,P
1700047M11Rik,P
1700048O20Rik,N
1700051A21Rik,P
1700052K11Rik,N
1700054M17Rik,P
1700055D16Rik,P
1700055D18Rik,M&P
1700056E22Rik,P
1700057G04Rik,P
1700063D05Rik,M&P
1700063O14Rik,P
1700065D16Rik,P
1700065J18Rik,P
1700066B19Rik,P
1700066M21Rik,N
1700066O22Rik,P
1700067K01Rik,P
1700071K01Rik,P
1700071M16Rik,P
1700084E18Rik,P
1700086L19Rik,N
1700086O06Rik,M
1700088E04Rik,M
1700092K14Rik,P
1700092M07Rik,P
1700093K21Rik,M&P
1700094D03Rik,N
1700095J03Rik,P
1700096K18Rik,M
1700097N02Rik,P
1700101I11Rik,P
1700102H20Rik,P
1700102P08Rik,P
1700109G14Rik,P
1700109H08Rik,N
1700110C19Rik,N
1700110K17Rik,P
1700112D23Rik,M
1700112J16Rik,P
1700113A16Rik,M&P
1700120B22Rik,P
1700120C14Rik,P
1700120K04Rik,P
1700122H20Rik,P
1700123K08Rik,P
1700123L14Rik,P
1700123M08Rik,P
1700123O20Rik,N
1700123O21Rik,P
1700124L16Rik,P
1700125G02Rik,P
1700125H03Rik,P
1700125H20Rik,P
1810009A15Rik,P
1810010H24Rik,P
1810012K16Rik,P
1810013A23Rik,P
1810013L24Rik,N
1810014B01Rik,P
1810019N24Rik,P
1810020O05Rik,M&P
1810021B22Rik,P
1810024B03Rik,P
