Gene_Name,10_S254,11_S255,12_S256,1_S245,2_S246,3_S247,4_S248,5_S249,6_S250,7_S251,8_S252,9_S253
0610005C13Rik,0,0,0,2,4,1,1,2,0,0,1,0
0610009B22Rik,311,509,624,760,1070,753,629,680,968,607,554,844
0610009E02Rik,42,50,47,91,139,77,46,46,95,63,69,87
0610009L18Rik,120,98,103,123,208,138,154,118,150,124,127,146
0610010F05Rik,2249,3049,3899,4088,6114,3526,4576,4400,6171,4145,3547,4813
0610010K14Rik,517,342,519,589,917,604,574,572,884,556,508,635
0610012G03Rik,862,772,994,1176,1773,1112,1072,1137,1549,1066,1028,1223
0610030E20Rik,751,899,1182,1241,2131,1053,1301,1233,1793,1182,1035,1320
0610031O16Rik,0,0,0,0,0,0,0,0,0,0,1,0
0610038B21Rik,7,4,3,11,10,2,11,4,4,2,4,0
0610039H22Rik,0,0,1,0,0,1,0,0,0,0,0,0
0610039K10Rik,0,2,3,2,14,4,9,3,6,9,3,4
0610040B10Rik,13,21,40,28,78,27,30,38,37,43,11,37
0610040F04Rik,31,19,27,31,66,40,17,42,42,22,29,43
0610040J01Rik,162,158,176,256,365,143,192,223,344,236,190,205
0610043K17Rik,42,51,80,69,185,114,70,98,113,71,88,108
1110002E22Rik,113,157,237,385,343,231,329,293,545,412,323,382
1110002J07Rik,22,8,4,19,17,20,18,35,29,21,22,29
1110002L01Rik,345,539,711,779,1406,923,695,724,1350,729,706,890
1110004F10Rik,1400,2117,2914,3305,4570,3069,3406,3293,4701,3179,2350,3668
1110006O24Rik,72,32,27,42,55,11,31,33,45,25,29,42
1110008P14Rik,1129,1276,1309,1816,2593,1400,1428,1816,2574,1921,1538,1482
1110015O18Rik,5,24,30,39,146,24,11,38,59,29,26,52
1110017D15Rik,102,82,55,208,252,111,50,125,139,41,64,116
1110019D14Rik,20,29,46,52,104,41,36,51,49,26,65,39
1110020A21Rik,16,13,24,31,57,40,38,22,59,23,26,30
1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0,0
