Gene_Name,Genotype,Expressed_Allele,n_maternal,n_paternal,n_not_imprinted,n_imprinted,Classification
Dio3,WT_M,Paternal,3,0,0,3,Opposite
Ftx,WT_M,Paternal,3,0,0,3,Opposite
Hymai,WT_M,Paternal,3,0,0,3,Opposite
Ins2,WT_M,Paternal,3,0,0,3,Opposite
Jpx,WT_M,Paternal,3,0,0,3,Opposite
Mkrn3,WT_M,Paternal,3,0,0,3,Opposite
Peg12,WT_M,Paternal,3,0,0,3,Opposite
Peg3os,WT_M,Paternal,3,0,0,3,Opposite
Xist,WT_M,Paternal,3,0,0,3,Opposite
Grb10,KO_M,Maternal,0,3,0,3,Opposite
Meg3,KO_M,Maternal,0,3,0,3,Opposite
Mirg,KO_M,Maternal,0,3,0,3,Opposite
Rian,KO_M,Maternal,0,3,0,3,Opposite
Ftx,KO_M,Paternal,3,0,0,3,Opposite
Hymai,KO_M,Paternal,3,0,0,3,Opposite
Jpx,KO_M,Paternal,3,0,0,3,Opposite
Mkrn3,KO_M,Paternal,3,0,0,3,Opposite
Peg12,KO_M,Paternal,3,0,0,3,Opposite
Peg3os,KO_M,Paternal,3,0,0,3,Opposite
