"gene_symbol","log2FoldChange_HTF_vs_WTF","log2FoldChange_KOM_vs_WTM","log2FoldChange_KOM_vs_HTF","log2FoldChange_WTM_vs_WTF","expressed_allele","allele_status"
"Adam23_129",-0.000821655076734648,-0.143354904015052,-0.0376103700137756,0.00072104534486965,"Paternal","imprinted"
"Adam23_JF1",5.98894050307228e-05,-0.0709469469311137,-0.0386036684210118,0.000711461050940881,"Paternal","active"
"Ampd3_129",0.000905389430451608,0.0220220630526302,0.0252401246265578,0.00202583390458762,"Maternal","active"
"Ampd3_JF1",0.00278245640392652,0.069442035890474,-0.0271564454792664,-0.00258512693713232,"Maternal","imprinted"
"Ano1_129",0.0013153252980845,-0.084552890515281,-0.0519054358728878,0.0177005770444601,"Maternal","active"
"Ano1_JF1",-0.00029794414952163,0.00782013754837007,0.000508318262541645,-0.00984625081303256,"Maternal","imprinted"
"Aqp1_129",-0.00160747025758999,-0.0127652753750425,-0.0039952112815499,-0.000639274514036147,"Maternal","active"
"Aqp1_JF1",-0.0011184194449727,-0.00743578617916364,-0.00632762028289228,0.000569377350326788,"Maternal","imprinted"
"Axl_129",0.000711979247418196,0.0581256972178646,0.0408144553271237,0.000249482111004254,"Maternal","active"
"Axl_JF1",0.00418100591617149,0.0925616412621522,0.0510491359096029,0.000894626589748929,"Maternal","imprinted"
"Begain_129",0.000103759078920076,-0.0259823141023063,-0.0125901354077147,0.00473838809156216,"Paternal","imprinted"
"Begain_JF1",-2.2014321907538e-05,0.112940842422734,0.110231604328002,-0.000120442954751827,"Paternal","active"
"Blcap_129",0.000123099188816662,0.0275681115504907,-0.00566975668190239,-0.0027477206295948,"Maternal","active"
"Blcap_JF1",6.47658469109889e-05,-0.0623447238883864,-0.0407204648464625,0.000249715650392113,"Maternal","imprinted"
"Calcr_129",0.0034553431271337,0.0108072074608739,-0.0152752899692272,-0.0126185948694045,"Maternal","active"
"Ccdc40_129",0.000394237424041064,0.00430559106938335,-0.0319137334086297,-0.0112712828944113,"Paternal","imprinted"
"Ccdc40_JF1",-0.000392017012791621,-0.00307203407927184,-0.00361983031968279,-0.0025706082640789,"Paternal","active"
"Cd81_129",-0.000445381028010376,0.0249937582333932,0.0120466028825174,-0.000926319079119228,"Maternal","active"
"Cd81_JF1",-0.000246774094428252,0.011815925209706,0.0134042319829556,-0.00015621792912272,"Maternal","imprinted"
"Cdh15_129",0.00583887089093163,-0.000149269099510536,0.00195957566711563,0.0689877056721,"Paternal","imprinted"
"Cdh15_JF1",5.28105988177556e-05,0.005756360791785,0.00344367192628516,-0.00610846035768253,"Paternal","active"
"Cdkn1c_129",-0.000816967512861272,-0.00757510162771274,-0.00574228685427184,-0.00286479348303353,"Maternal","active"
