"gene_symbol","log2FC_HTF_vs_WTF","padj_HTF_vs_WTF","log2FC_KOM_vs_WTM","padj_KOM_vs_WTM","log2FC_KOM_vs_HTF","padj_KOM_vs_HTF","log2FC_WTM_vs_WTF","padj_WTM_vs_WTF","expressed_allele","allele_status"
"Adam23_129",-0.000821655076734648,1,-0.143354904015052,0.211340379180213,-0.0376103700137756,0.798066109295477,0.00072104534486965,1,"Paternal","imprinted"
"Adam23_JF1",5.98894050307228e-05,1,-0.0709469469311137,0.547662802150565,-0.0386036684210118,0.793783516248921,0.000711461050940881,1,"Paternal","active"
"Ampd3_129",0.000905389430451608,1,0.0220220630526302,0.891909419229427,0.0252401246265578,0.876891920727746,0.00202583390458762,1,"Maternal","active"
"Ampd3_JF1",0.00278245640392652,1,0.069442035890474,0.567054780975547,-0.0271564454792664,0.91239237068431,-0.00258512693713232,1,"Maternal","imprinted"
"Ano1_129",0.0013153252980845,1,-0.084552890515281,0.270551898211953,-0.0519054358728878,0.585925197585387,0.0177005770444601,1,"Maternal","active"
"Ano1_JF1",-0.00029794414952163,1,0.00782013754837007,0.926958681009283,0.000508318262541645,1,-0.00984625081303256,1,"Maternal","imprinted"
"Aqp1_129",-0.00160747025758999,1,-0.0127652753750425,0.815416473366078,-0.0039952112815499,0.995914032177077,-0.000639274514036147,1,"Maternal","active"
"Aqp1_JF1",-0.0011184194449727,1,-0.00743578617916364,0.898370300288589,-0.00632762028289228,0.994799281013691,0.000569377350326788,1,"Maternal","imprinted"
"Axl_129",0.000711979247418196,1,0.0581256972178646,0.667427632363268,0.0408144553271237,0.804774669421059,0.000249482111004254,1,"Maternal","active"
"Axl_JF1",0.00418100591617149,1,0.0925616412621522,0.409382645970838,0.0510491359096029,0.714021745897446,0.000894626589748929,1,"Maternal","imprinted"
"Begain_129",0.000103759078920076,1,-0.0259823141023063,0.769933709124549,-0.0125901354077147,0.955300657543975,0.00473838809156216,1,"Paternal","imprinted"
"Begain_JF1",-2.2014321907538e-05,1,0.112940842422734,0.295719470333585,0.110231604328002,0.263279714517763,-0.000120442954751827,1,"Paternal","active"
"Blcap_129",0.000123099188816662,1,0.0275681115504907,0.875522771750856,-0.00566975668190239,0.997863958741306,-0.0027477206295948,1,"Maternal","active"
"Blcap_JF1",6.47658469109889e-05,1,-0.0623447238883864,0.643417574389795,-0.0407204648464625,0.848454037564861,0.000249715650392113,1,"Maternal","imprinted"
"Calcr_129",0.0034553431271337,1,0.0108072074608739,0.83658157772564,-0.0152752899692272,0.916624186116397,-0.0126185948694045,1,"Maternal","active"
"Calcr_JF1",0,NA,0,NA,0,NA,0,NA,"Maternal","imprinted"
"Ccdc40_129",0.000394237424041064,1,0.00430559106938335,0.990339263862508,-0.0319137334086297,0.778114986327979,-0.0112712828944113,1,"Paternal","imprinted"
"Ccdc40_JF1",-0.000392017012791621,1,-0.00307203407927184,0.982651436201967,-0.00361983031968279,0.995914032177077,-0.0025706082640789,1,"Paternal","active"
"Cd81_129",-0.000445381028010376,1,0.0249937582333932,0.908100824288847,0.0120466028825174,0.989870600489382,-0.000926319079119228,1,"Maternal","active"
"Cd81_JF1",-0.000246774094428252,1,0.011815925209706,0.973460479643812,0.0134042319829556,0.986244903741115,-0.00015621792912272,1,"Maternal","imprinted"
"Cdh15_129",0.00583887089093163,1,-0.000149269099510536,1,0.00195957566711563,1,0.0689877056721,1,"Paternal","imprinted"
"Cdh15_JF1",5.28105988177556e-05,1,0.005756360791785,0.926036824100491,0.00344367192628516,0.997072922463036,-0.00610846035768253,1,"Paternal","active"
"Cdkn1c_129",-0.000816967512861272,1,-0.00757510162771274,0.945426491093669,-0.00574228685427184,0.994684891634816,-0.00286479348303353,1,"Maternal","active"
"Cdkn1c_JF1",-0.000401136086210926,1,-0.00107673257705285,1,0.010182239610039,0.955300657543975,0.00401011464412277,1,"Maternal","imprinted"
"Chrac1_129",-0.000783603446198885,1,-0.00452607273050708,0.994569138056684,-0.00141750755897909,1,-0.000901558207708558,1,"Maternal","active"
"Chrac1_JF1",0.000612108516329099,1,0.0333290058682001,0.798127731410663,0.00237086294073833,1,-0.00205537912507159,1,"Maternal","imprinted"
"Copg2_129",0.000786890811958556,1,-0.00292377870360548,0.999320028453293,-0.0106977357870392,0.985032129330026,0.000379884241866058,1,"Maternal","active"
"Copg2_JF1",-0.00138795961870024,1,-0.0527821004622972,0.612139288368175,-0.0096773301247195,0.988370169841547,0.00107559341602102,1,"Maternal","imprinted"
"Dact2_129",-5.57104312873964e-05,1,0.0370696756076923,0.607759844130949,0.00718853747933203,0.991573684255142,-0.015669872841512,1,"Maternal","active"
"Dact2_JF1",0.00459339171913659,1,0.0430269901519607,0.749540803712858,0.0245127363264482,0.906507246692495,0.00297764810184673,1,"Maternal","imprinted"
"Dcn_129",0.00166228302627761,1,0.0159111529646381,0.789978626072037,-0.0144403898996547,0.91239237068431,-0.015350128240847,1,"Maternal","active"
"Dcn_JF1",0.00205072104467931,1,0.0218955021992647,0.715079967941997,-0.0173864957748944,0.887704263546733,-0.0163962989239442,1,"Maternal","imprinted"
"Ddc_129",0.000105272782025344,1,0.00740024180101613,0.950717308795182,0.0101958650021125,0.964129408443859,0.00102374311266084,1,"Paternal","imprinted"
"Ddc_JF1",-0.00029720095157198,1,0.012295073103375,0.860203247001329,0.00426288455512973,0.995914032177077,-0.0123487037771867,1,"Paternal","active"
"Dhcr7_129",-0.00100285036680306,1,-0.00466786125844877,0.995111158189036,0.0192177390353251,0.948190298888795,0.000117496843810052,1,"Maternal","active"
"Dhcr7_JF1",-0.00566810061108463,1,-0.0559626085076267,0.684026133315909,0.00986374894897774,0.994799281013691,3.06451487809962e-05,1,"Maternal","imprinted"
"Dlk1_129",-0.00117654945051614,NA,0,NA,-21.9412765678131,NA,-19.553234413549,NA,"Paternal ",NA
"Dlk1_JF1",0.00120791169963808,1,0.00757820869892927,0.891909419229427,0.000902468710819983,1,-0.00247241249007599,1,"Paternal ",NA
"Ftx_129",0.000340295763454464,1,0.00634214451613348,0.989328081631562,0.116659421855195,0.263816231345149,0.0588426816133974,0.3031167047329,"Paternal","imprinted"
"Ftx_JF1",0.000297049906040843,1,0.00125779796286423,1,-4.17847739129921,1.18340206624381e-22,-4.12532923605088,1.89028057451728e-22,"Paternal","active"
"Gab1_129",-0.00127435764954054,1,0.0144589260210256,0.945448970722372,0.010482659400731,0.987392883995695,-0.00249980346558222,1,"Paternal","imprinted"
"Gab1_JF1",-0.00781762660108217,1,-0.0297405124359616,0.86336835106923,0.00993770878809913,0.991085742804608,-0.000705289235863286,1,"Paternal","active"
"Galnt6_129",-0.00373934830528942,1,0.00782404452168919,0.954966480829959,0.007661294660795,0.987392883995695,-0.0335702097823207,0.976412606427484,"Paternal","imprinted"
"Galnt6_JF1",-0.00162195558048267,1,-0.010188802018471,0.952294866558633,0.0107131529567993,0.972777754577563,0.00058565139172879,1,"Paternal","active"
"Gatm_129",-0.0141297154835757,0.842326459099136,-0.0516060496267246,0.706354483628983,-0.0205228632721942,0.949262136169827,-0.0031706568742804,1,"Maternal","active"
"Gatm_JF1",-0.00953037741009272,0.98832792458728,-0.00984674030025334,0.975394458570168,0.0179591490718387,0.950496544331542,-0.00194693965574683,1,"Maternal","imprinted"
"Gm35612_129",-0.000374059743236732,1,0.0437963231701585,0.51467857414403,0.578488001812736,0.0225338732597068,0.0080480665787754,1,"Maternal","active"
"Gm35612_JF1",-0.00122525061132363,1,0,NA,0,1,-0.00840650470748339,1,"Maternal","imprinted"
"Gnai3_129",-0.000230211110104931,1,-0.00867670430754556,0.988143750858392,0.0157443939434869,0.983125718930248,0.000165920784765889,1,"Maternal","active"
"Gnai3_JF1",-0.000819321789578611,1,-0.068657961964354,0.572838726763799,-0.0588771307700881,0.594515944833944,-0.000623753501158512,1,"Maternal","imprinted"
"Gnas_129",-0.000433310152617527,1,0.0355337183167056,0.857559948218498,0.0255093856309608,0.9278086965062,-0.000628790780076722,1,"Maternal","active"
"Gnas_JF1",-0.00139789196590511,1,0.00771582394184395,0.989356515547403,0.0485366806173174,0.715782848211781,0.000104672106403437,1,"Maternal","imprinted"
"Grb10_129",-0.00212757930326827,1,-0.0110760958252861,0.919055822699609,0.00740124329871051,0.988131364057813,-0.000254558345522581,1,"Maternal ",NA
"Grb10_JF1",0.010267283565561,0.882925922210063,0.0592462024976776,0.531819358220981,-0.00696965315492445,0.994799281013691,-0.000217113890987566,1,"Maternal ",NA
"H13_129",0.000298833096443919,1,-0.000285719840948519,1,-0.00247546208258061,1,0.000705489852239965,1,"Maternal","active"
"H13_JF1",-0.000504137109693507,1,0.000336722946623599,1,-0.00124029226580352,1,-0.00184195379951084,1,"Maternal","imprinted"
"Htr2a_129",0.00508209319844886,1,0.00990313421535156,0.95825664598145,-0.000887995288622848,1,0.00869603059867743,1,"Maternal","active"
"Htr2a_JF1",-0.000644520601982069,1,0.0103990450138227,0.959733100957487,0.00976303959164693,0.983711450208864,-0.00138315385659048,1,"Maternal","imprinted"
"Hymai_129",-0.0029075139530059,1,-0.000708676904153831,1,0.0212377857923996,0.819349929422878,-0.00131637426824756,1,"Paternal","imprinted"
"Hymai_JF1",23.4241752425602,NA,0,NA,-21.8545898865901,NA,0,NA,"Paternal","active"
"Igf2_129",-0.0018477456477719,1,-0.0263203429384562,0.619135029171452,-0.00788332534380482,0.977013099463827,0.000484318047949888,1,"Paternal","imprinted"
