Gene_Name,Published_Expression,WT_F_Imprinted_Count,WT_M_Imprinted_Count,HT_F_Imprinted_Count,KO_M_Imprinted_Count,WT_F_Imprint_Status,WT_M_Imprint_Status,HT_F_Imprint_Status,KO_M_Imprint_Status,WT_F_Percent_Matching,WT_M_Percent_Matching,HT_F_Percent_Matching,KO_M_Percent_Matching
Adam23,Paternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Ampd3,Maternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Ano1,Maternal,0,1,0,0,Not Imprinted,Paternal,Not Imprinted,Not Imprinted,NA,100,NA,NA
Aqp1,Maternal,1,0,0,2,Paternal,Not Imprinted,Not Imprinted,Paternal,100,NA,NA,100
Asb4,Maternal,3,2,3,3,Paternal,Paternal,Paternal,Paternal,100,100,100,100
Ascl2,Maternal,3,1,2,2,Paternal,Paternal,Paternal,Paternal,100,100,100,100
Axl,Maternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Begain,Paternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Blcap,Maternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Calcr,Maternal,2,2,1,2,Paternal,Paternal,Paternal,Paternal,100,100,100,100
Ccdc40,Paternal,0,0,1,0,Not Imprinted,Not Imprinted,Paternal,Not Imprinted,NA,NA,0,NA
Cd81,Maternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Cdh15,Paternal,3,3,3,3,Maternal,Inconsistent,Inconsistent,Inconsistent,100,66.7,66.7,66.7
Cdkn1c,Maternal,3,3,3,3,Paternal,Paternal,Paternal,Paternal,100,100,100,100
