Gene_Name,Imprinting_Category
0610038B21Rik,P
0610039K10Rik,P
0610040B10Rik,P
0610040F04Rik,P
0610043K17Rik,P
1110002E22Rik,M&P
1110002J07Rik,M&P
1110006O24Rik,P
1110008P14Rik,M&P
1110015O18Rik,P
1110019D14Rik,P
1110020A21Rik,M&P
1110028F11Rik,P
1110046J04Rik,P
1110059E24Rik,M
1110059G10Rik,P
1300017J02Rik,P
1500004A13Rik,M
1500009C09Rik,M
1500012K07Rik,P
1500015A07Rik,P
1500015L24Rik,P
1500035N22Rik,M&P
1600010M07Rik,P
1600014C10Rik,M
1600014C23Rik,P
1600015H23Rik,P
1600023N17Rik,P
1600029I14Rik,P
1600029O15Rik,P
1700001G11Rik,P
1700001G17Rik,P
1700001O22Rik,P
1700001P01Rik,P
1700003D09Rik,P
1700003F12Rik,P
1700003G18Rik,P
1700003L19Rik,P
1700003M07Rik,M
1700006F04Rik,P
1700007F19Rik,P
1700007J10Rik,P
1700007K13Rik,P
1700007L15Rik,P
1700007P06Rik,P
1700008O03Rik,M&P
1700009C05Rik,P
1700010I14Rik,M&P
1700010K23Rik,P
1700012B09Rik,P
1700012C14Rik,P
1700012D01Rik,P
1700012D14Rik,M
1700012D16Rik,P
1700012H19Rik,P
1700012P22Rik,P
1700013F07Rik,P
1700016K19Rik,P
1700016L04Rik,M&P
1700018A04Rik,P
1700018L02Rik,P
1700019A02Rik,P
1700019G24Rik,P
1700019N19Rik,P
1700020D05Rik,P
1700020L24Rik,P
1700020N18Rik,P
1700022N22Rik,P
1700023D09Rik,P
1700023F02Rik,P
1700024B18Rik,P
1700024G13Rik,M&P
1700025G04Rik,M
1700026J14Rik,P
1700027H10Rik,P
1700028E10Rik,P
1700028I16Rik,P
1700028J19Rik,P
1700028K03Rik,M&P
1700028P14Rik,M
1700029H14Rik,P
1700029I15Rik,P
1700029J07Rik,M&P
1700030A11Rik,P
1700030C10Rik,P
1700030C12Rik,P
1700030C14Rik,M&P
1700030F04Rik,P
1700030J22Rik,M
1700030M09Rik,P
1700034H15Rik,M&P
1700034P13Rik,P
1700037C18Rik,M&P
1700039E22Rik,P
1700039M10Rik,P
1700040D17Rik,P
1700047M11Rik,P
1700051A21Rik,P
1700054M17Rik,P
1700055D16Rik,P
1700055D18Rik,M&P
1700056E22Rik,P
1700057G04Rik,P
1700063D05Rik,M&P
1700063O14Rik,P
1700065D16Rik,P
1700065J18Rik,P
1700066B19Rik,P
1700066O22Rik,P
1700067K01Rik,P
1700071K01Rik,P
1700071M16Rik,P
1700084E18Rik,P
1700086O06Rik,M
1700088E04Rik,M
1700092K14Rik,P
1700092M07Rik,P
1700093K21Rik,M&P
1700095J03Rik,P
1700096K18Rik,M
1700097N02Rik,P
1700101I11Rik,P
1700102H20Rik,P
1700102P08Rik,P
1700109G14Rik,P
1700110K17Rik,P
1700112D23Rik,M
1700112J16Rik,P
1700113A16Rik,M&P
1700120B22Rik,P
1700120C14Rik,P
1700120K04Rik,P
1700122H20Rik,P
1700123K08Rik,P
1700123L14Rik,P
1700123M08Rik,P
1700123O21Rik,P
1700124L16Rik,P
1700125G02Rik,P
1700125H03Rik,P
1700125H20Rik,P
1810009A15Rik,P
1810010H24Rik,P
1810012K16Rik,P
1810013A23Rik,P
1810014B01Rik,P
1810019N24Rik,P
1810020O05Rik,M&P
1810021B22Rik,P
1810024B03Rik,P
1810030O07Rik,P
1810034E14Rik,P
1810041H14Rik,P
1810044D09Rik,P
1810062G17Rik,P
1810062O18Rik,P
1810073O08Rik,P
2010109A12Rik,P
2010204K13Rik,P
2010308F09Rik,P
2200002D01Rik,P
2210039B01Rik,P
2210406O10Rik,M
2210416O15Rik,M&P
2310001H17Rik,P
2310001K24Rik,P
2310002F09Rik,P
2310010J17Rik,P
2310022B05Rik,M
2310030G06Rik,P
2310033P09Rik,M
2310034G01Rik,P
2310039H08Rik,M
2310040G24Rik,P
2310043M15Rik,P
2310061I04Rik,M
2310068J16Rik,P
2410004I01Rik,P
2410004P03Rik,M&P
2410018L13Rik,P
2410124H12Rik,P
2410137M14Rik,P
2500002B13Rik,P
2510003B16Rik,M&P
2510039O18Rik,M
2610002M06Rik,P
2610005L07Rik,M
2610020C07Rik,M&P
2610024D14Rik,P
2610027K06Rik,P
2610028E06Rik,P
2610028H24Rik,P
2610035F20Rik,P
2610037D02Rik,P
2610042L04Rik,P
2610203C22Rik,P
2610301B20Rik,M
2610307P16Rik,M&P
2610316D01Rik,P
2610318M16Rik,P
2610318N02Rik,P
2610507I01Rik,M
2610528A11Rik,P
2700012I20Rik,P
2700038G22Rik,M&P
2700046A07Rik,P
2700054A10Rik,M&P
2700069I18Rik,P
2700070H01Rik,P
2700089I24Rik,P
2700099C18Rik,P
2810001G20Rik,P
2810002D19Rik,P
2810030D12Rik,P
2810049E08Rik,P
2810403D21Rik,P
2810404M03Rik,P
2810408A11Rik,P
2810408I11Rik,P
2810414N06Rik,M&P
2810425M01Rik,P
2810429I04Rik,P
2810433D01Rik,P
2810454H06Rik,P
2900005J15Rik,M
2900009J06Rik,M&P
2900040C04Rik,P
2900041M22Rik,P
2900060B14Rik,M&P
2900060N12Rik,M
3000002C10Rik,M
3010001F23Rik,P
3010003L21Rik,P
3110009E18Rik,M&P
3110009F21Rik,P
3110021A11Rik,P
3110045C21Rik,M&P
3110067G11Rik,P
3110070M22Rik,M&P
3110082J24Rik,P
3110083C13Rik,P
3110099E03Rik,P
3300002A11Rik,P
3300002I08Rik,P
3300002P13Rik,P
3425401B19Rik,P
3632454L22Rik,P
3830408C21Rik,M&P
3830432H09Rik,P
3930402G23Rik,P
4631405J19Rik,P
4632415L05Rik,M
4632428C04Rik,P
4732414G09Rik,P
4732416N19Rik,P
4732419C18Rik,P
4732471J01Rik,M
4831407H17Rik,P
4831440E17Rik,M&P
4833407H14Rik,P
4833411C07Rik,P
4833412C05Rik,P
4833415N18Rik,P
4833417C18Rik,M&P
4833418N02Rik,P
4833419F23Rik,P
4833422C13Rik,P
4833422M21Rik,P
4833428L15Rik,P
4833438C02Rik,P
4833439F03Rik,P
4921507P07Rik,P
4921509O07Rik,P
4921511C10Rik,P
4921515E04Rik,P
4921525O09Rik,P
4921536K21Rik,P
4922502B01Rik,P
4930404I05Rik,P
4930404N11Rik,P
4930405A21Rik,P
4930405O22Rik,P
4930412C18Rik,P
4930412M03Rik,P
4930413F20Rik,P
4930413G21Rik,P
4930415O20Rik,P
4930419G24Rik,P
4930425L21Rik,P
4930426D05Rik,P
4930426I24Rik,P
4930426L09Rik,P
4930429B21Rik,M
4930429F24Rik,M&P
4930431P03Rik,P
4930431P22Rik,P
4930432K21Rik,M
4930443O20Rik,P
4930444P10Rik,P
4930447C04Rik,P
4930447F24Rik,P
4930447K03Rik,M&P
4930447M23Rik,P
4930447N08Rik,P
4930452G13Rik,P
4930455D15Rik,P
4930455H04Rik,P
4930465K10Rik,P
4930467D21Rik,M&P
4930467E23Rik,M&P
4930467K11Rik,P
4930470G03Rik,P
4930470H14Rik,P
4930471C04Rik,P
4930471M09Rik,P
4930473A02Rik,P
4930474G06Rik,P
4930479D17Rik,M
4930480G23Rik,P
4930481A15Rik,P
4930482G09Rik,P
4930483J18Rik,P
4930483O08Rik,P
4930484H19Rik,P
4930486L24Rik,P
4930500G05Rik,P
4930503B20Rik,P
4930506C21Rik,P
4930507D05Rik,M&P
4930509G22Rik,P
4930511A02Rik,P
4930512B01Rik,P
4930513D17Rik,P
4930513N10Rik,P
4930515G01Rik,P
4930515L03Rik,M&P
4930517G24Rik,P
4930519F16Rik,P
4930519K11Rik,P
4930520O04Rik,M
4930522P08Rik,P
4930523C07Rik,P
4930525G20Rik,P
4930526L06Rik,P
4930528A17Rik,P
4930528D03Rik,P
4930529C04Rik,M&P
4930533K18Rik,P
4930535L15Rik,P
4930538E20Rik,P
4930539J05Rik,P
4930539M17Rik,P
4930543N07Rik,P
4930544D05Rik,P
4930546C10Rik,P
4930546K05Rik,P
4930550C14Rik,P
4930552P12Rik,P
4930553C11Rik,P
4930553P18Rik,P
4930554H23Rik,P
4930555A03Rik,P
4930555G01Rik,P
4930555K19Rik,M
4930556M19Rik,P
4930558J18Rik,P
4930558K02Rik,P
4930563E18Rik,P
4930567H12Rik,P
4930568G15Rik,P
4930577N17Rik,P
4930578G10Rik,P
4930578L24Rik,P
4930578M01Rik,P
4930579F01Rik,P
4930579G18Rik,P
4930579G24Rik,M&P
4930579K19Rik,P
4930590A17Rik,P
4930592A05Rik,P
4930592C13Rik,P
4930593A02Rik,P
4930593C16Rik,P
4930594C11Rik,P
4930595D18Rik,P
4930596I21Rik,P
4930598N05Rik,P
4930599N23Rik,P
4931403E22Rik,P
4931406H21Rik,P
4931408D14Rik,M&P
4931415C17Rik,P
4931419H13Rik,P
4931422A03Rik,P
4931429L15Rik,P
4931431C16Rik,P
4931440J10Rik,P
4931440P22Rik,P
4932414N04Rik,P
4932415M13Rik,P
4932441J04Rik,P
4932702P03Rik,P
4933402D24Rik,P
4933402J07Rik,P
4933403O08Rik,P
4933404O12Rik,M
4933405D12Rik,P
4933405O20Rik,P
4933406C10Rik,P
4933407E24Rik,P
4933407K13Rik,M&P
4933407L21Rik,M&P
4933408J17Rik,M&P
4933409K07Rik,M
4933411K16Rik,P
4933416E14Rik,P
4933416I08Rik,P
4933417D19Rik,P
4933417O13Rik,P
4933422A05Rik,P
4933424G06Rik,P
4933424M12Rik,P
4933427E11Rik,P
4933428G20Rik,P
4933429O19Rik,M&P
4933430I17Rik,P
4933431E20Rik,P
4933432I09Rik,P
4933433G15Rik,P
4933433G19Rik,P
4933439K11Rik,P
5031425E22Rik,M
5031434C07Rik,P
5033403F01Rik,P
5033430I15Rik,P
5330411J11Rik,P
5330413P13Rik,P
5330429C05Rik,P
5330434G04Rik,P
5430402O13Rik,M&P
5430403G16Rik,P
5430427O19Rik,P
5430431A17Rik,P
5430437J10Rik,P
5530601H04Rik,P
5730403I07Rik,P
5730405O15Rik,P
5730408K05Rik,P
5730412P04Rik,P
5730420D15Rik,P
5730480H06Rik,P
5730507C01Rik,P
5830408C22Rik,P
5830411N06Rik,P
5830417I10Rik,M
5830418P13Rik,P
5830432E09Rik,P
5830444B04Rik,P
5830454E08Rik,P
5930403N24Rik,P
5930438M14Rik,P
6030407O03Rik,P
6030442K20Rik,P
6030443J06Rik,M&P
6030458C11Rik,M
6030466F02Rik,P
6030468B19Rik,P
6030498E09Rik,P
6230400D17Rik,P
6330407A03Rik,P
6330409D20Rik,P
6330410L21Rik,P
6330415B21Rik,P
6330415G19Rik,M&P
6330420H09Rik,P
6330525I24Rik,P
6330549D23Rik,P
6430411K18Rik,M&P
6430550D23Rik,P
6430553K19Rik,P
6430571L13Rik,M
6430573P05Rik,M&P
6430584L05Rik,P
6430628N08Rik,P
6430710C18Rik,P
6530409C15Rik,P
6530411M01Rik,M&P
6720468P15Rik,P
6720483E21Rik,P
6820408C15Rik,P
7530428D23Rik,P
8030423F21Rik,P
8030442B05Rik,P
8030453O22Rik,P
8030455M16Rik,P
8430426J06Rik,P
8430429K09Rik,P
8430431K14Rik,P
9030025P20Rik,P
9030612E09Rik,P
9030624G23Rik,P
9130008F23Rik,P
9130019O22Rik,P
9130019P16Rik,P
9130023H24Rik,P
9130227L01Rik,P
9230009I02Rik,P
9230102K24Rik,P
9230112J17Rik,P
9230114K14Rik,P
9230116N13Rik,P
9330102E08Rik,M
9330104G04Rik,M
9330111N05Rik,M
9330117O12Rik,P
9330136K24Rik,P
9330158H04Rik,P
9330159M07Rik,P
9330175M20Rik,P
9330179D12Rik,M&P
9330188P03Rik,M
9330198I05Rik,P
9330199G10Rik,P
9430018G01Rik,P
9430037G07Rik,P
9430038I01Rik,P
9430041J12Rik,M&P
9430060I03Rik,P
9430065F17Rik,M&P
9430069I07Rik,P
9430078K24Rik,P
9530020I12Rik,P
9530026P05Rik,P
9530027J09Rik,P
9530036O11Rik,P
9530051G07Rik,P
9530052C20Rik,M&P
9530053A07Rik,M&P
9530062K07Rik,P
9530080O11Rik,M&P
9530082P21Rik,M&P
9530091C08Rik,P
9630001P10Rik,M
9630013A20Rik,M&P
9630013D21Rik,P
9630013K17Rik,P
9630015K15Rik,P
9630028B13Rik,P
9630028I04Rik,P
9830166K06Rik,P
9930012K11Rik,P
9930014A18Rik,P
9930111J21Rik1,P
9930111J21Rik2,P
A030001D20Rik,P
A130077B15Rik,P
A230001M10Rik,P
A230006K03Rik,M
A230009B12Rik,P
A230020J21Rik,P
A230028O05Rik,P
A230051N06Rik,P
A230056J06Rik,P
A230056P14Rik,P
A230057D06Rik,M
A230072C01Rik,P
A230072E10Rik,P
A230083G16Rik,P
A230103J11Rik,M&P
A230107N01Rik,P
A2ml1,M&P
A330008L17Rik,P
A330009N23Rik,M
A330015K06Rik,P
A330032B11Rik,P
A330032P22Rik,M&P
A330033J07Rik,P
A330035P11Rik,P
A330040F15Rik,P
A330041J22Rik,M&P
A330048O09Rik,M
A330049N07Rik,P
A330069E16Rik,P
A330074K22Rik,P
A330076C08Rik,P
A330076H08Rik,M
A330093E20Rik,P
A330094K24Rik,P
A3galt2,P
A430018G15Rik,P
A430027H14Rik,P
A430033K04Rik,M
A430035B10Rik,P
A430057M04Rik,P
A430078I02Rik,P
A430093F15Rik,P
A430108G06Rik,M&P
A4galt,M&P
A4gnt,P
A530013C23Rik,P
A530046M15Rik,P
A530065N20Rik,P
A530072M11Rik,M&P
A530088E08Rik,P
A630001G21Rik,P
A630001O12Rik,P
A630019I02Rik,P
A630023P12Rik,P
A630066F11Rik,M&P
A630077J23Rik,P
A630089N07Rik,P
A730013G03Rik,P
A730017L22Rik,P
A730018C14Rik,P
A730020M07Rik,P
A730035I17Rik,P
A730036I17Rik,P
A730046J19Rik,P
A730049H05Rik,P
A730056A06Rik,M&P
A730063M14Rik,P
A730081D07Rik,P
A730085K08Rik,P
A730090N16Rik,P
A730098A19Rik,P
A830005F24Rik,P
A830009L08Rik,P
A830018L16Rik,M
A830019L24Rik,P
A830019P07Rik,P
A830029E22Rik,P
A830036E02Rik,M&P
A830052D11Rik,P
A930001A20Rik,P
A930001C03Rik,P
A930002C04Rik,P
A930003A15Rik,P
A930003O13Rik,P
A930005G22Rik,P
A930005H10Rik,P
A930006K02Rik,M&P
A930009A15Rik,P
A930011G23Rik,P
A930012L18Rik,M&P
A930015D03Rik,M
A930016O22Rik,P
A930017K11Rik,P
A930033H14Rik,P
A930037H05Rik,P
A930041C12Rik,P
AA386476,M&P
AA387883,P
AA388235,P
AA413626,P
AA467197,P
AA543186,P
AB124611,P
AF357399,P
AI182371,P
AI197445,P
AI413582,M
AI429214,M
AI463170,P
AI467606,P
AI506816,M&P
AI606473,P
AI661453,P
AI839979,P
AI847159,P
AU021063,P
AU022252,M
AU022754,P
AU023762,P
AU040972,P
AU041480,P
AV039307,P
AV051173,P
AW112010,P
AW495222,P
AW549542,P
AW551984,P
AW822252,P
AY074887,P
Aadat,P
Aanat,P
Aar2,M
Aars2,M
Abca12,P
Abca13,P
Abca17,P
Abca3,M
Abca4,M&P
Abca6,M&P
Abcb11,P
Abcb1b,P
Abcb7,P
Abcb8,M
Abcc12,P
Abcc2,P
Abcc3,P
Abcc4,P
Abcc6,P
Abcd1,P
Abcf2,M
Abcg3,P
Abcg4,P
Abcg5,P
Abhd10,M
Abhd11os,P
Abhd14a,M
Abhd14b,M
Abhd15,P
Abhd1,M
Abhd3,P
Abi3bp,P
Abitram,P
Abra,P
Abraxas1,P
Acaa1b,M
Acad10,M&P
Acad12,M
Acads,M
Acap1,P
Acap3,M
Acbd7,P
Accsl,P
Ace2,P
Acer2,P
Ackr1,M
Ackr2,P
Ackr4,P
Acnat1,P
Acod1,P
Acot12,P
Acot3,P
Acot4,P
Acot9,P
Acox2,P
Acoxl,P
Acp1,M
Acp4,P
Acp5,P
Acp7,P
Acpp,P
Acr,P
Acsbg3,P
Acsl4,P
Acsm3,P
Acsm5,P
Acss2,M
Acss2os,P
Acss3,M&P
Actbl2,P
Actg1,P
Actl10,P
Actl6b,M
Actl7b,P
Actl9,P
Actn2,M
Actn3,P
Actr10,M
Actr5,M
Actrt3,P
Acvrl1,M
Acy1,M
Acy3,P
Ada,P
Adad1,P
Adam17,M
Adam18,P
Adam1b,P
Adam21,P
Adam2,P
Adam32,M&P
Adam33,P
Adam3,P
Adam4,M&P
Adam5,P
Adam8,P
Adamts10,M
Adamts12,M&P
Adamts13,M
