Chr,Gene_Name,10_S254,11_S255,12_S256,1_S245,2_S246,3_S247,4_S248,5_S249,6_S250,7_S251,8_S252,9_S253
chr1,1700019A02Rik,,1.0,,4.0,2.0,2.0,,2.0,3.0,1.0,,2.0
chr1,1700019D03Rik,11.0,12.0,14.0,13.0,14.0,13.0,13.0,12.0,15.0,13.0,14.0,13.0
chr1,1700025G04Rik,59.0,70.0,70.0,67.0,100.0,64.0,60.0,65.0,77.0,63.0,70.0,73.0
chr1,1700034H15Rik,5.0,,3.0,2.0,29.0,8.0,7.0,10.0,16.0,2.0,7.0,13.0
chr1,1700047M11Rik,1.0,6.0,7.0,8.0,8.0,,1.0,7.0,4.0,3.0,7.0,5.0
chr1,1700066M21Rik,18.0,19.0,19.0,21.0,28.0,20.0,17.0,17.0,30.0,15.0,18.0,19.0
chr1,2310009B15Rik,2.0,4.0,8.0,3.0,9.0,4.0,4.0,4.0,6.0,4.0,3.0,8.0
chr1,2810025M15Rik,5.0,5.0,7.0,7.0,8.0,5.0,7.0,7.0,7.0,7.0,5.0,7.0
chr1,2810414N06Rik,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0
chr1,2810459M11Rik,20.0,19.0,19.0,19.0,19.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0
chr1,2900060B14Rik,,,,2.0,4.0,1.0,4.0,,1.0,2.0,,1.0
chr1,2900092D14Rik,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
chr1,3110009E18Rik,,4.0,4.0,4.0,4.0,,,3.0,5.0,4.0,,
chr1,4930523C07Rik,5.0,2.0,6.0,22.0,22.0,16.0,3.0,1.0,21.0,2.0,9.0,9.0
chr1,5033417F24Rik,6.0,12.0,11.0,11.0,12.0,13.0,12.0,12.0,13.0,12.0,11.0,13.0
chr1,6430706D22Rik,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0
chr1,9130024F11Rik,2.0,1.0,1.0,1.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,4.0
chr1,A130010J15Rik,9.0,15.0,16.0,19.0,21.0,18.0,14.0,19.0,23.0,21.0,19.0,20.0
chr1,A330023F24Rik,68.0,80.0,86.0,77.0,88.0,68.0,82.0,72.0,88.0,69.0,83.0,90.0
chr1,A430027H14Rik,,,5.0,,5.0,,2.0,,2.0,2.0,2.0,2.0
chr1,A830018L16Rik,106.0,117.0,131.0,121.0,154.0,115.0,115.0,110.0,127.0,111.0,109.0,131.0
chr1,AA986860,3.0,3.0,16.0,18.0,25.0,20.0,14.0,18.0,21.0,12.0,9.0,20.0
chr1,AI597479,13.0,13.0,13.0,16.0,19.0,14.0,16.0,14.0,13.0,14.0,14.0,13.0
chr1,Aamp,9.0,8.0,10.0,9.0,21.0,16.0,12.0,11.0,13.0,6.0,9.0,16.0
chr1,Abcb6,14.0,20.0,23.0,20.0,52.0,24.0,21.0,24.0,20.0,12.0,25.0,30.0
chr1,Abi2,17.0,23.0,28.0,26.0,53.0,18.0,19.0,22.0,37.0,17.0,18.0,27.0
chr1,Abl2,95.0,87.0,88.0,83.0,101.0,85.0,82.0,86.0,98.0,86.0,93.0,87.0
chr1,Acadl,17.0,18.0,18.0,20.0,21.0,18.0,18.0,18.0,19.0,18.0,17.0,18.0
chr1,Acbd3,5.0,4.0,7.0,6.0,24.0,6.0,5.0,4.0,15.0,5.0,8.0,8.0
chr1,Acbd6,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr1,Ackr1,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
chr1,Ackr3,18.0,20.0,18.0,19.0,22.0,18.0,18.0,19.0,18.0,19.0,22.0,18.0
chr1,Acsl3,100.0,128.0,131.0,116.0,169.0,83.0,105.0,112.0,147.0,118.0,145.0,142.0
chr1,Actr1b,25.0,48.0,49.0,48.0,76.0,37.0,48.0,29.0,54.0,31.0,35.0,57.0
chr1,Actr3,31.0,39.0,51.0,56.0,70.0,27.0,35.0,71.0,62.0,44.0,50.0,48.0
